"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US13017960400","Census Tract 9604, Ben Hill County, Georgia","4063","600",
"1400000US13017960501","Census Tract 9605.01, Ben Hill County, Georgia","869","256",
"1400000US13017960502","Census Tract 9605.02, Ben Hill County, Georgia","4431","712",
"1400000US13019970100","Census Tract 9701, Berrien County, Georgia","1638","259",
"1400000US13019970200","Census Tract 9702, Berrien County, Georgia","4284","460",
"1400000US13019970300","Census Tract 9703, Berrien County, Georgia","2735","412",
"1400000US13019970400","Census Tract 9704, Berrien County, Georgia","3485","600",
"1400000US13019970500","Census Tract 9705, Berrien County, Georgia","3612","546",
"1400000US13019970600","Census Tract 9706, Berrien County, Georgia","3452","477",
"1400000US13021010100","Census Tract 101, Bibb County, Georgia","1724","400",
"1400000US13021010200","Census Tract 102, Bibb County, Georgia","1813","273",
"1400000US13021010400","Census Tract 104, Bibb County, Georgia","1877","397",
"1400000US13021010500","Census Tract 105, Bibb County, Georgia","2665","395",
"1400000US13021010800","Census Tract 108, Bibb County, Georgia","1691","273",
"1400000US13021011001","Census Tract 110.01, Bibb County, Georgia","3195","554",
"1400000US13021011002","Census Tract 110.02, Bibb County, Georgia","865","312",
"1400000US13021011100","Census Tract 111, Bibb County, Georgia","1867","319",
"1400000US13021011500","Census Tract 115, Bibb County, Georgia","1190","312",
"1400000US13021011701","Census Tract 117.01, Bibb County, Georgia","2844","666",
"1400000US13021011702","Census Tract 117.02, Bibb County, Georgia","3930","528",
"1400000US13021011800","Census Tract 118, Bibb County, Georgia","3772","522",
"1400000US13021011900","Census Tract 119, Bibb County, Georgia","1900","378",
"1400000US13021012000","Census Tract 120, Bibb County, Georgia","4572","525",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","2898","365",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","5749","1038",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","2610","405",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","4706","1002",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","2735","437",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","3947","885",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","1731","458",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","2927","621",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","1604","434",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","4995","1279",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","3896","539",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","5486","941",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","2816","722",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","4046","708",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","4861","803",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","3862","469",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","4121","691",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","4952","676",
"1400000US13021013412","Census Tract 134.12, Bibb County, Georgia","3782","354",
"1400000US13021013413","Census Tract 134.13, Bibb County, Georgia","1714","305",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","1848","357",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","2417","356",
"1400000US13021013505","Census Tract 135.05, Bibb County, Georgia","4705","571",
"1400000US13021013506","Census Tract 135.06, Bibb County, Georgia","4363","688",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","5074","507",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","4635","409",
"1400000US13021013605","Census Tract 136.05, Bibb County, Georgia","6393","1157",
"1400000US13021013607","Census Tract 136.07, Bibb County, Georgia","2961","490",
"1400000US13021013608","Census Tract 136.08, Bibb County, Georgia","3321","764",
"1400000US13021013701","Census Tract 137.01, Bibb County, Georgia","1876","265",
"1400000US13021013702","Census Tract 137.02, Bibb County, Georgia","1105","279",
"1400000US13021013800","Census Tract 138, Bibb County, Georgia","1324","338",
"1400000US13021013900","Census Tract 139, Bibb County, Georgia","1830","469",
"1400000US13021014000","Census Tract 140, Bibb County, Georgia","3831","790",
"1400000US13023790100","Census Tract 7901, Bleckley County, Georgia","4626","402",
"1400000US13023790200","Census Tract 7902, Bleckley County, Georgia","2897","512",
"1400000US13023790301","Census Tract 7903.01, Bleckley County, Georgia","3004","375",
"1400000US13023790302","Census Tract 7903.02, Bleckley County, Georgia","2343","366",
"1400000US13025960101","Census Tract 9601.01, Brantley County, Georgia","4258","821",
"1400000US13025960102","Census Tract 9601.02, Brantley County, Georgia","3380","771",
"1400000US13025960201","Census Tract 9602.01, Brantley County, Georgia","2081","547",
"1400000US13025960202","Census Tract 9602.02, Brantley County, Georgia","3662","625",
"1400000US13025960300","Census Tract 9603, Brantley County, Georgia","5543","669",
"1400000US13027960200","Census Tract 9602, Brooks County, Georgia","1230","250",
"1400000US13027960301","Census Tract 9603.01, Brooks County, Georgia","3748","522",
"1400000US13027960302","Census Tract 9603.02, Brooks County, Georgia","1784","324",
"1400000US13027960400","Census Tract 9604, Brooks County, Georgia","3670","572",
"1400000US13027960500","Census Tract 9605, Brooks County, Georgia","2755","425",
"1400000US13027960600","Census Tract 9606, Brooks County, Georgia","2361","392",
"1400000US13029920101","Census Tract 9201.01, Bryan County, Georgia","5000","531",
"1400000US13029920103","Census Tract 9201.03, Bryan County, Georgia","4658","420",
"1400000US13029920104","Census Tract 9201.04, Bryan County, Georgia","1508","736",
"1400000US13029920301","Census Tract 9203.01, Bryan County, Georgia","1726","259",
"1400000US13029920303","Census Tract 9203.03, Bryan County, Georgia","6371","729",
"1400000US13029920305","Census Tract 9203.05, Bryan County, Georgia","4367","544",
"1400000US13029920307","Census Tract 9203.07, Bryan County, Georgia","6907","749",
"1400000US13029920308","Census Tract 9203.08, Bryan County, Georgia","7784","715",
"1400000US13029980000","Census Tract 9800, Bryan County, Georgia","0","14",
"1400000US13031110100","Census Tract 1101, Bulloch County, Georgia","3792","598",
"1400000US13031110201","Census Tract 1102.01, Bulloch County, Georgia","4000","628",
"1400000US13031110202","Census Tract 1102.02, Bulloch County, Georgia","4556","737",
"1400000US13031110301","Census Tract 1103.01, Bulloch County, Georgia","3744","580",
"1400000US13031110302","Census Tract 1103.02, Bulloch County, Georgia","4742","829",
