"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10403847","*****",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3179","457",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","4766","619",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","5154","535",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1674","219",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3667","460",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2119","286",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4687","280",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1433","250",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2737","399",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4424","413",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4040","425",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1989","199",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","1143","199",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","6069","702",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","6333","730",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","6050","526",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","4378","608",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","6882","817",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","3358","470",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","2448","426",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","2167","351",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","7426","728",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","5394","423",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","4531","344",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","4778","368",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","4005","374",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","5583","385",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","1849","206",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","2988","247",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","2687","252",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","4117","318",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2788","226",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","3638","291",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","2780","253",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","4728","316",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","2943","372",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","2590","180",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","6162","397",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","5862","481",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","6124","381",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","6930","582",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","6771","466",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","4716","399",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","5735","525",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","1487","238",
"1400000US13015960102","Census Tract 9601.02, Bartow County, Georgia","10296","732",
"1400000US13015960200","Census Tract 9602, Bartow County, Georgia","11099","898",
"1400000US13015960300","Census Tract 9603, Bartow County, Georgia","6452","621",
"1400000US13015960401","Census Tract 9604.01, Bartow County, Georgia","10696","992",
"1400000US13015960402","Census Tract 9604.02, Bartow County, Georgia","8975","731",
"1400000US13015960500","Census Tract 9605, Bartow County, Georgia","8371","828",
"1400000US13015960600","Census Tract 9606, Bartow County, Georgia","8892","637",
"1400000US13015960700","Census Tract 9607, Bartow County, Georgia","7819","686",
"1400000US13015960801","Census Tract 9608.01, Bartow County, Georgia","3873","476",
"1400000US13015960802","Census Tract 9608.02, Bartow County, Georgia","3087","366",
"1400000US13015960803","Census Tract 9608.03, Bartow County, Georgia","5557","445",
"1400000US13015960901","Census Tract 9609.01, Bartow County, Georgia","3081","423",
"1400000US13015960902","Census Tract 9609.02, Bartow County, Georgia","7004","426",
"1400000US13015961000","Census Tract 9610, Bartow County, Georgia","8230","603",
"1400000US13017960100","Census Tract 9601, Ben Hill County, Georgia","2832","309",
"1400000US13017960200","Census Tract 9602, Ben Hill County, Georgia","1555","234",
"1400000US13017960300","Census Tract 9603, Ben Hill County, Georgia","3348","407",
"1400000US13017960400","Census Tract 9604, Ben Hill County, Georgia","4220","498",
"1400000US13017960500","Census Tract 9605, Ben Hill County, Georgia","5078","578",
"1400000US13019970100","Census Tract 9701, Berrien County, Georgia","1634","194",
"1400000US13019970200","Census Tract 9702, Berrien County, Georgia","4524","382",
"1400000US13019970300","Census Tract 9703, Berrien County, Georgia","2654","369",
"1400000US13019970400","Census Tract 9704, Berrien County, Georgia","3303","415",
