"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10625615","*****",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3421","588",
"1400000US13001950201","Census Tract 9502.01, Appling County, Georgia","2491","481",
"1400000US13001950202","Census Tract 9502.02, Appling County, Georgia","2466","544",
"1400000US13001950301","Census Tract 9503.01, Appling County, Georgia","2960","514",
"1400000US13001950302","Census Tract 9503.02, Appling County, Georgia","1596","364",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1852","382",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3723","606",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2214","334",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4604","395",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1451","260",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2699","476",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4295","477",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4169","548",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1910","222",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","1018","221",
"1400000US13009970101","Census Tract 9701.01, Baldwin County, Georgia","2266","474",
"1400000US13009970102","Census Tract 9701.02, Baldwin County, Georgia","3055","412",
"1400000US13009970201","Census Tract 9702.01, Baldwin County, Georgia","3248","697",
"1400000US13009970202","Census Tract 9702.02, Baldwin County, Georgia","3480","536",
"1400000US13009970301","Census Tract 9703.01, Baldwin County, Georgia","2341","451",
"1400000US13009970302","Census Tract 9703.02, Baldwin County, Georgia","3470","565",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","3803","588",
"1400000US13009970501","Census Tract 9705.01, Baldwin County, Georgia","3754","547",
"1400000US13009970502","Census Tract 9705.02, Baldwin County, Georgia","2724","424",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","3754","563",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","1974","468",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","2312","581",
"1400000US13009970801","Census Tract 9708.01, Baldwin County, Georgia","3230","711",
"1400000US13009970802","Census Tract 9708.02, Baldwin County, Georgia","4465","800",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","5097","395",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","4574","456",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","4532","455",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","3858","459",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","6116","556",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","2366","333",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","2789","369",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","2615","257",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","4103","497",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2929","394",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","3662","644",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","3233","563",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","5038","533",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","3339","494",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","3193","609",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","5845","703",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","5765","851",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","6089","568",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","6318","678",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","7898","955",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","4939","488",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","5901","644",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","1657","320",
"1400000US13015960103","Census Tract 9601.03, Bartow County, Georgia","3659","781",
"1400000US13015960104","Census Tract 9601.04, Bartow County, Georgia","2646","408",
"1400000US13015960105","Census Tract 9601.05, Bartow County, Georgia","3748","737",
"1400000US13015960201","Census Tract 9602.01, Bartow County, Georgia","2788","650",
"1400000US13015960202","Census Tract 9602.02, Bartow County, Georgia","3836","397",
"1400000US13015960203","Census Tract 9602.03, Bartow County, Georgia","3855","585",
"1400000US13015960301","Census Tract 9603.01, Bartow County, Georgia","3823","895",
"1400000US13015960302","Census Tract 9603.02, Bartow County, Georgia","3039","501",
"1400000US13015960403","Census Tract 9604.03, Bartow County, Georgia","4185","875",
"1400000US13015960404","Census Tract 9604.04, Bartow County, Georgia","5511","954",
"1400000US13015960405","Census Tract 9604.05, Bartow County, Georgia","4903","816",
"1400000US13015960406","Census Tract 9604.06, Bartow County, Georgia","2625","457",
"1400000US13015960407","Census Tract 9604.07, Bartow County, Georgia","2782","648",
"1400000US13015960501","Census Tract 9605.01, Bartow County, Georgia","6496","996",
"1400000US13015960502","Census Tract 9605.02, Bartow County, Georgia","2831","528",
"1400000US13015960601","Census Tract 9606.01, Bartow County, Georgia","5435","774",
"1400000US13015960602","Census Tract 9606.02, Bartow County, Georgia","3500","565",
"1400000US13015960701","Census Tract 9607.01, Bartow County, Georgia","4448","785",
"1400000US13015960702","Census Tract 9607.02, Bartow County, Georgia","3055","463",
"1400000US13015960801","Census Tract 9608.01, Bartow County, Georgia","4734","912",
"1400000US13015960802","Census Tract 9608.02, Bartow County, Georgia","3455","637",
"1400000US13015960804","Census Tract 9608.04, Bartow County, Georgia","3788","446",
"1400000US13015960805","Census Tract 9608.05, Bartow County, Georgia","1866","367",
"1400000US13015960901","Census Tract 9609.01, Bartow County, Georgia","2831","441",
"1400000US13015960902","Census Tract 9609.02, Bartow County, Georgia","7412","1127",
"1400000US13015961001","Census Tract 9610.01, Bartow County, Georgia","5550","583",
"1400000US13015961002","Census Tract 9610.02, Bartow County, Georgia","3410","469",
"1400000US13017960100","Census Tract 9601, Ben Hill County, Georgia","2966","490",
"1400000US13017960200","Census Tract 9602, Ben Hill County, Georgia","1725","325",
"1400000US13017960300","Census Tract 9603, Ben Hill County, Georgia","3501","493",
"1400000US13017960400","Census Tract 9604, Ben Hill County, Georgia","4234","534",
"1400000US13017960501","Census Tract 9605.01, Ben Hill County, Georgia","778","261",
"1400000US13017960502","Census Tract 9605.02, Ben Hill County, Georgia","4033","614",
"1400000US13019970100","Census Tract 9701, Berrien County, Georgia","1330","234",
"1400000US13019970200","Census Tract 9702, Berrien County, Georgia","3787","427",
"1400000US13019970300","Census Tract 9703, Berrien County, Georgia","2837","447",
"1400000US13019970400","Census Tract 9704, Berrien County, Georgia","3516","541",
"1400000US13019970500","Census Tract 9705, Berrien County, Georgia","3386","431",
