"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10722325","*****",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","3628","569",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","2392","457",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","2361","445",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","2716","404",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","1759","363",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","1719","415",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","3866","486",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","2110","355",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","4572","418",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","1583","327",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","2510","447",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","4623","482",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","4005","578",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","1854","238",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","1024","238",
"1400000US13009970101","Census Tract 9701.01; Baldwin County; Georgia","2406","473",
"1400000US13009970102","Census Tract 9701.02; Baldwin County; Georgia","2989","485",
"1400000US13009970201","Census Tract 9702.01; Baldwin County; Georgia","3376","598",
"1400000US13009970202","Census Tract 9702.02; Baldwin County; Georgia","3367","564",
"1400000US13009970301","Census Tract 9703.01; Baldwin County; Georgia","2740","420",
"1400000US13009970302","Census Tract 9703.02; Baldwin County; Georgia","3403","605",
"1400000US13009970400","Census Tract 9704; Baldwin County; Georgia","3664","654",
"1400000US13009970501","Census Tract 9705.01; Baldwin County; Georgia","3860","525",
"1400000US13009970502","Census Tract 9705.02; Baldwin County; Georgia","2701","456",
"1400000US13009970600","Census Tract 9706; Baldwin County; Georgia","3579","573",
"1400000US13009970701","Census Tract 9707.01; Baldwin County; Georgia","1763","279",
"1400000US13009970702","Census Tract 9707.02; Baldwin County; Georgia","2275","589",
"1400000US13009970801","Census Tract 9708.01; Baldwin County; Georgia","2761","695",
"1400000US13009970802","Census Tract 9708.02; Baldwin County; Georgia","4894","409",
"1400000US13011970100","Census Tract 9701; Banks County; Georgia","4946","387",
"1400000US13011970200","Census Tract 9702; Banks County; Georgia","4885","414",
"1400000US13011970300","Census Tract 9703; Banks County; Georgia","4527","452",
"1400000US13011970400","Census Tract 9704; Banks County; Georgia","4023","418",
"1400000US13013180103","Census Tract 1801.03; Barrow County; Georgia","6014","598",
"1400000US13013180104","Census Tract 1801.04; Barrow County; Georgia","2611","287",
"1400000US13013180105","Census Tract 1801.05; Barrow County; Georgia","3041","379",
"1400000US13013180106","Census Tract 1801.06; Barrow County; Georgia","2584","271",
"1400000US13013180107","Census Tract 1801.07; Barrow County; Georgia","4212","570",
"1400000US13013180108","Census Tract 1801.08; Barrow County; Georgia","3103","413",
"1400000US13013180203","Census Tract 1802.03; Barrow County; Georgia","3201","635",
"1400000US13013180204","Census Tract 1802.04; Barrow County; Georgia","3141","544",
"1400000US13013180205","Census Tract 1802.05; Barrow County; Georgia","5394","617",
"1400000US13013180206","Census Tract 1802.06; Barrow County; Georgia","3341","477",
"1400000US13013180301","Census Tract 1803.01; Barrow County; Georgia","3262","608",
"1400000US13013180302","Census Tract 1803.02; Barrow County; Georgia","6176","648",
"1400000US13013180303","Census Tract 1803.03; Barrow County; Georgia","5887","801",
"1400000US13013180401","Census Tract 1804.01; Barrow County; Georgia","6328","615",
"1400000US13013180402","Census Tract 1804.02; Barrow County; Georgia","6161","643",
"1400000US13013180501","Census Tract 1805.01; Barrow County; Georgia","7956","1045",
"1400000US13013180502","Census Tract 1805.02; Barrow County; Georgia","5211","545",
"1400000US13013180503","Census Tract 1805.03; Barrow County; Georgia","6776","637",
"1400000US13015960101","Census Tract 9601.01; Bartow County; Georgia","1678","356",
"1400000US13015960103","Census Tract 9601.03; Bartow County; Georgia","3588","730",
"1400000US13015960104","Census Tract 9601.04; Bartow County; Georgia","2677","430",
"1400000US13015960105","Census Tract 9601.05; Bartow County; Georgia","3870","838",
"1400000US13015960201","Census Tract 9602.01; Bartow County; Georgia","2768","621",
"1400000US13015960202","Census Tract 9602.02; Bartow County; Georgia","3755","420",
"1400000US13015960203","Census Tract 9602.03; Bartow County; Georgia","4190","597",
"1400000US13015960301","Census Tract 9603.01; Bartow County; Georgia","3553","954",
"1400000US13015960302","Census Tract 9603.02; Bartow County; Georgia","3313","487",
"1400000US13015960403","Census Tract 9604.03; Bartow County; Georgia","4296","903",
"1400000US13015960404","Census Tract 9604.04; Bartow County; Georgia","5535","778",
"1400000US13015960405","Census Tract 9604.05; Bartow County; Georgia","4942","895",
"1400000US13015960406","Census Tract 9604.06; Bartow County; Georgia","2709","488",
"1400000US13015960407","Census Tract 9604.07; Bartow County; Georgia","2892","609",
"1400000US13015960501","Census Tract 9605.01; Bartow County; Georgia","6613","1108",
"1400000US13015960502","Census Tract 9605.02; Bartow County; Georgia","3112","604",
"1400000US13015960601","Census Tract 9606.01; Bartow County; Georgia","5785","811",
"1400000US13015960602","Census Tract 9606.02; Bartow County; Georgia","3660","722",
"1400000US13015960701","Census Tract 9607.01; Bartow County; Georgia","4014","572",
"1400000US13015960702","Census Tract 9607.02; Bartow County; Georgia","3429","513",
"1400000US13015960801","Census Tract 9608.01; Bartow County; Georgia","4728","912",
"1400000US13015960802","Census Tract 9608.02; Bartow County; Georgia","3391","632",
"1400000US13015960804","Census Tract 9608.04; Bartow County; Georgia","3977","418",
"1400000US13015960805","Census Tract 9608.05; Bartow County; Georgia","1809","422",
