"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","465","2456",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","527","4644",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","346","1846",
"1400000US13021012300","Census Tract 123, Bibb County, Georgia","633","3190",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","541","3128",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","498","3995",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","814","4783",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","398","2616",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","592","3929",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","483","1985",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","862","6472",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","462","4098",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","696","5614",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","359","2170",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","851","5152",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","485","4063",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","278","4452",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","434","3766",
"1400000US13021013410","Census Tract 134.10, Bibb County, Georgia","567","6189",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","432","3552",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","352","1904",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","307","2025",
"1400000US13021013504","Census Tract 135.04, Bibb County, Georgia","631","7767",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","603","4000",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","558","4351",
"1400000US13021013605","Census Tract 136.05, Bibb County, Georgia","553","6137",
"1400000US13021013606","Census Tract 136.06, Bibb County, Georgia","435","5423",
"1400000US13021013700","Census Tract 137, Bibb County, Georgia","424","2924",
"1400000US13021013800","Census Tract 138, Bibb County, Georgia","382","1814",
"1400000US13021013900","Census Tract 139, Bibb County, Georgia","615","2333",
"1400000US13023790100","Census Tract 7901, Bleckley County, Georgia","529","4489",
"1400000US13023790200","Census Tract 7902, Bleckley County, Georgia","493","3369",
"1400000US13023790300","Census Tract 7903, Bleckley County, Georgia","511","5079",
"1400000US13025960100","Census Tract 9601, Brantley County, Georgia","647","6278",
