"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10940407","*****",
"1400000US13015960802","Census Tract 9608.02; Bartow County; Georgia","3088","725",
"1400000US13015960804","Census Tract 9608.04; Bartow County; Georgia","4261","462",
"1400000US13015960805","Census Tract 9608.05; Bartow County; Georgia","1633","337",
"1400000US13015960901","Census Tract 9609.01; Bartow County; Georgia","2697","336",
"1400000US13015960902","Census Tract 9609.02; Bartow County; Georgia","7623","1097",
"1400000US13015961001","Census Tract 9610.01; Bartow County; Georgia","5689","669",
"1400000US13015961002","Census Tract 9610.02; Bartow County; Georgia","4018","485",
"1400000US13017960100","Census Tract 9601; Ben Hill County; Georgia","2740","414",
"1400000US13017960200","Census Tract 9602; Ben Hill County; Georgia","1666","296",
"1400000US13017960300","Census Tract 9603; Ben Hill County; Georgia","3638","529",
"1400000US13017960400","Census Tract 9604; Ben Hill County; Georgia","4078","659",
"1400000US13017960501","Census Tract 9605.01; Ben Hill County; Georgia","1117","311",
"1400000US13017960502","Census Tract 9605.02; Ben Hill County; Georgia","3850","671",
"1400000US13019970100","Census Tract 9701; Berrien County; Georgia","1365","234",
"1400000US13019970200","Census Tract 9702; Berrien County; Georgia","3278","372",
"1400000US13019970300","Census Tract 9703; Berrien County; Georgia","3436","504",
"1400000US13019970400","Census Tract 9704; Berrien County; Georgia","3569","512",
"1400000US13019970500","Census Tract 9705; Berrien County; Georgia","3524","478",
"1400000US13019970600","Census Tract 9706; Berrien County; Georgia","3180","460",
"1400000US13021010100","Census Tract 101; Bibb County; Georgia","1471","404",
"1400000US13021010200","Census Tract 102; Bibb County; Georgia","1882","352",
"1400000US13021010400","Census Tract 104; Bibb County; Georgia","2055","510",
"1400000US13021010500","Census Tract 105; Bibb County; Georgia","3173","327",
"1400000US13021010800","Census Tract 108; Bibb County; Georgia","1799","354",
"1400000US13021011001","Census Tract 110.01; Bibb County; Georgia","3875","553",
"1400000US13021011002","Census Tract 110.02; Bibb County; Georgia","770","340",
"1400000US13021011100","Census Tract 111; Bibb County; Georgia","2181","478",
"1400000US13021011500","Census Tract 115; Bibb County; Georgia","1088","313",
"1400000US13021011701","Census Tract 117.01; Bibb County; Georgia","2848","637",
"1400000US13021011702","Census Tract 117.02; Bibb County; Georgia","4640","578",
"1400000US13021011800","Census Tract 118; Bibb County; Georgia","4012","643",
"1400000US13021011900","Census Tract 119; Bibb County; Georgia","2752","403",
"1400000US13021012000","Census Tract 120; Bibb County; Georgia","4755","604",
"1400000US13021012101","Census Tract 121.01; Bibb County; Georgia","2582","410",
"1400000US13021012102","Census Tract 121.02; Bibb County; Georgia","4270","1214",
"1400000US13021012200","Census Tract 122; Bibb County; Georgia","2303","500",
"1400000US13021012400","Census Tract 124; Bibb County; Georgia","4172","1085",
"1400000US13021012500","Census Tract 125; Bibb County; Georgia","3475","574",
"1400000US13021012600","Census Tract 126; Bibb County; Georgia","3500","853",
"1400000US13021012700","Census Tract 127; Bibb County; Georgia","1909","491",
"1400000US13021012800","Census Tract 128; Bibb County; Georgia","2582","737",
"1400000US13021012900","Census Tract 129; Bibb County; Georgia","1542","403",
"1400000US13021013101","Census Tract 131.01; Bibb County; Georgia","5488","1474",
"1400000US13021013102","Census Tract 131.02; Bibb County; Georgia","3787","557",
"1400000US13021013201","Census Tract 132.01; Bibb County; Georgia","5653","1063",
"1400000US13021013202","Census Tract 132.02; Bibb County; Georgia","2867","887",
"1400000US13021013302","Census Tract 133.02; Bibb County; Georgia","3657","890",
"1400000US13021013407","Census Tract 134.07; Bibb County; Georgia","4146","855",
"1400000US13021013408","Census Tract 134.08; Bibb County; Georgia","4751","541",
