"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10099320","*****","6039389","7870","3148134","4631","28950","1884","373983","2355","4916","558","281491","7277","222457","5724","32837","2119","189620","5416",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3144","352","3002","355","109","65","21","35","12","27","0","13","0","13","0","13","0","13","0","13",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","4622","484","2500","416","1851","294","55","79","74","82","0","13","137","204","5","9","0","13","5","9",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","4983","453","3781","509","718","311","0","13","63","79","0","13","257","330","164","137","0","13","164","137",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1617","238","1141","205","454","182","0","13","0","13","0","13","22","37","0","13","0","13","0","13",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","4044","433","3770","441","225","147","13","22","0","13","0","13","0","13","36","39","0","13","36","39",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2176","261","1334","218","449","168","0","13","0","13","0","13","374","189","19","20","13","18","6","9",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4666","286","3278","351","1011","173","2","7","0","13","0","13","352","166","23","23","0","13","23","23",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1426","208","1298","212","36","43","56","9","0","13","0","13","14","22","22","34","22","34","0","13",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2891","349","2569","334","143","92","0","13","6","9","9","14","141","157","23","23","0","13","23","23",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4227","334","2872","306","984","163","0","13","7","13","0","13","250","208","114","83","44","69","70","52",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4133","354","3419","314","608","144","0","13","29","29","26","40","0","13","51","48","0","13","51","48",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","2172","167","1042","208","1036","202","0","13","27","47","0","13","57","72","10","20","0","13","10","20",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","1078","167","740","180","311","126","11","19","0","13","16","25","0","13","0","13","0","13","0","13",
