"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10201635","*****","6061821","8022","3195268","4909","30552","1967","388946","2803","5237","747","282570","8107","237241","5997","33692","2232","203549","5948",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2830","357","2739","361","91","65","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","4545","531","2590","414","1698","385","89","139","0","13","0","13","163","235","5","9","0","13","5","9",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","5797","502","4151","500","934","382","0","18","156","207","0","18","342","352","214","174","0","18","214","174",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1577","226","1150","186","395","182","0","13","0","13","0","13","30","46","2","3","0","13","2","3",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3722","463","3432","431","181","131","14","23","0","13","0","13","66","105","29","26","0","13","29","26",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2106","255","1370","267","408","133","0","13","0","13","0","13","316","199","12","20","6","18","6","9",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4744","276","3242","307","1076","134","2","10","0","13","0","13","388","148","36","31","10","18","26","26",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1463","213","1350","215","15","22","57","15","0","13","0","13","15","24","26","42","26","42","0","13",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","3159","352","2878","391","100","89","0","13","6","10","0","13","150","173","25","25","0","13","25","25",
