"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10403847","*****","6098889","7850","3289020","6416","37440","2491","414481","2692","6233","790","291872","7800","265912","6099","39023","2145","226889","5715",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3179","457","3082","445","95","71","0","13","0","13","0","13","0","13","2","4","0","13","2","4",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","4766","619","2518","459","1991","434","88","141","0","13","0","13","163","201","6","10","6","10","0","13",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","5154","535","3685","632","750","368","0","19","74","111","0","19","552","349","93","91","40","64","53","63",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1674","219","1209","178","403","181","3","6","0","13","0","13","19","31","40","45","6","10","34","43",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3667","460","3256","400","322","202","6","9","0","13","0","13","49","78","34","33","0","13","34","33",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2119","286","1681","274","290","119","0","13","0","13","0","13","145","124","3","4","0","13","3","4",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4687","280","3179","322","1138","144","0","13","0","13","0","13","363","213","7","9","4","6","3","8",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1433","250","1336","261","16","18","81","111","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2737","399","2686","399","15","28","0","13","0","13","0","13","0","13","36","34","0","13","36","34",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4424","413","3413","346","673","218","0","13","0","13","0","13","107","133","231","148","53","85","178","136",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4040","425","2857","379","1013","232","0","13","19","28","26","40","64","103","61","58","20","34","41","47",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1989","199","930","191","903","255","0","13","96","98","0","13","45","73","15","23","0","13","15","23",
