"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US13","Georgia","10940407","*****","5574133","7124","3401114","8546","44547","2713","495388","2852","7534","1070","504292","10321","913399","14790","514230","9518","399169","9489",
"1400000US13009970801","Census Tract 9708.01; Baldwin County; Georgia","2962","543","2239","543","589","155","0","14","0","14","78","126","12","19","44","62","28","57","16","22",
"1400000US13009970802","Census Tract 9708.02; Baldwin County; Georgia","5142","495","2394","414","2479","416","10","20","22","48","0","20","62","42","175","61","82","42","93","55",
"1400000US13011970100","Census Tract 9701; Banks County; Georgia","5132","492","4360","504","13","25","17","22","0","20","0","20","210","141","532","290","375","225","157","169",
"1400000US13011970200","Census Tract 9702; Banks County; Georgia","5385","485","5230","491","27","23","3","5","19","33","0","20","7","12","99","61","54","48","45","39",
"1400000US13011970300","Census Tract 9703; Banks County; Georgia","4868","491","4026","504","117","130","7","10","130","145","0","14","152","104","436","214","351","206","85","75",
"1400000US13011970400","Census Tract 9704; Banks County; Georgia","3879","482","2911","530","367","204","0","14","218","159","0","14","191","200","192","126","95","117","97","44",
"1400000US13013180103","Census Tract 1801.03; Barrow County; Georgia","5888","622","4021","481","816","192","24","28","446","175","0","20","28","31","553","237","351","200","202","106",
"1400000US13013180104","Census Tract 1801.04; Barrow County; Georgia","3506","308","1868","308","642","214","62","76","100","95","0","14","443","281","391","146","301","145","90","76",
"1400000US13013180105","Census Tract 1801.05; Barrow County; Georgia","3160","441","2009","300","244","274","0","14","66","67","0","14","180","119","661","399","601","400","60","43",
"1400000US13013180106","Census Tract 1801.06; Barrow County; Georgia","2961","308","1814","317","99","131","145","159","398","230","0","14","66","82","439","238","326","256","113","98",
"1400000US13013180107","Census Tract 1801.07; Barrow County; Georgia","3965","543","3114","517","188","140","0","14","467","157","0","14","67","102","129","79","24","21","105","68",
"1400000US13013180108","Census Tract 1801.08; Barrow County; Georgia","3209","415","2656","505","188","186","0","14","50","53","0","14","179","163","136","76","52","60","84","63",
"1400000US13013180203","Census Tract 1802.03; Barrow County; Georgia","2951","621","1118","261","761","247","0","14","61","70","0","14","246","150","765","537","691","532","74","56",
"1400000US13013180204","Census Tract 1802.04; Barrow County; Georgia","3766","639","2069","384","1036","347","0","14","219","157","0","14","21","32","421","328","235","285","186","175",
"1400000US13013180205","Census Tract 1802.05; Barrow County; Georgia","5472","608","3728","562","763","455","23","40","31","42","0","20","264","163","663","267","427","202","236","159",
"1400000US13013180206","Census Tract 1802.06; Barrow County; Georgia","3737","548","2683","519","291","188","21","32","0","14","0","14","366","283","376","166","59","64","317","157",
"1400000US13013180301","Census Tract 1803.01; Barrow County; Georgia","3738","716","2934","716","112","85","52","80","135","140","0","14","100","86","405","183","357","186","48","35",
"1400000US13013180302","Census Tract 1803.02; Barrow County; Georgia","6840","673","4844","761","587","301","0","20","455","288","0","20","679","425","275","176","169","142","106","113",
"1400000US13013180303","Census Tract 1803.03; Barrow County; Georgia","6267","914","4118","849","907","365","0","20","393","134","0","20","305","203","544","197","395","173","149","97",
"1400000US13013180401","Census Tract 1804.01; Barrow County; Georgia","6598","620","5357","700","492","198","0","20","302","328","0","20","152","178","295","197","122","144","173","150",
"1400000US13013180402","Census Tract 1804.02; Barrow County; Georgia","6958","661","4475","692","1047","264","40","62","141","141","0","20","198","177","1057","428","766","368","291","159",
"1400000US13013180501","Census Tract 1805.01; Barrow County; Georgia","8821","974","5350","919","1998","488","0","20","354","204","0","20","785","470","334","201","152","149","182","135",
"1400000US13013180502","Census Tract 1805.02; Barrow County; Georgia","5066","509","3494","529","936","488","13","16","9","15","0","20","106","82","508","253","177","166","331","207",
"1400000US13013180503","Census Tract 1805.03; Barrow County; Georgia","6983","676","4191","636","1444","557","134","216","0","20","0","20","251","242","963","710","117","100","846","708",
"1400000US13015960101","Census Tract 9601.01; Bartow County; Georgia","1767","308","1665","328","28","30","0","14","0","14","0","14","66","98","8","12","0","14","8","12",
"1400000US13015960103","Census Tract 9601.03; Bartow County; Georgia","3938","896","3481","859","41","72","0","14","0","14","0","14","252","203","164","148","0","14","164","148",
"1400000US13015960104","Census Tract 9601.04; Bartow County; Georgia","3284","426","3045","418","38","54","0","14","0","14","0","14","0","14","201","177","120","167","81","66",
"1400000US13015960105","Census Tract 9601.05; Bartow County; Georgia","3555","849","3448","844","12","20","0","14","40","48","0","14","55","90","0","14","0","14","0","14",
"1400000US13015960201","Census Tract 9602.01; Bartow County; Georgia","2614","487","2103","498","346","325","0","14","0","14","0","14","26","40","139","116","45","55","94","104",
"1400000US13015960202","Census Tract 9602.02; Bartow County; Georgia","3472","518","2035","505","534","182","8","14","79","100","0","14","758","623","58","112","27","108","31","30",
"1400000US13015960203","Census Tract 9602.03; Bartow County; Georgia","4713","597","4040","467","259","243","37","69","39","46","0","14","1","4","337","281","61","104","276","255",
"1400000US13015960301","Census Tract 9603.01; Bartow County; Georgia","4442","898","3902","887","359","353","0","14","2","5","0","14","0","14","179","110","51","83","128","63",
"1400000US13015960302","Census Tract 9603.02; Bartow County; Georgia","4083","481","2860","336","731","288","5","9","45","54","0","14","199","159","243","136","82","84","161","115",
