"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10625615","*****","5934931","9904","3350903","6794","34928","2577","448181","2754","6894","1173","334875","9173","514903","9398","221633","8114","293270","6617",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3421","588","3139","555","127","148","0","14","0","14","0","14","152","215","3","6","0","14","3","6",
"1400000US13001950201","Census Tract 9502.01, Appling County, Georgia","2491","481","1713","434","700","276","0","14","0","14","0","14","18","31","60","67","15","21","45","64",
"1400000US13001950202","Census Tract 9502.02, Appling County, Georgia","2466","544","1024","314","1265","405","0","14","0","14","0","14","19","28","158","138","85","99","73","94",
"1400000US13001950301","Census Tract 9503.01, Appling County, Georgia","2960","514","2201","468","301","341","0","14","0","14","0","14","223","183","235","222","235","222","0","14",
"1400000US13001950302","Census Tract 9503.02, Appling County, Georgia","1596","364","1355","339","149","170","0","14","0","14","0","14","0","14","92","120","10","19","82","118",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1852","382","1272","317","449","225","2","6","0","14","0","14","37","58","92","77","33","50","59","64",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3723","606","2748","514","657","403","0","14","0","14","0","14","262","266","56","61","35","54","21","30",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2214","334","1796","300","275","115","0","14","0","14","0","14","141","94","2","3","0","14","2","3",
