"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10297484","*****","6079976","5699","3239300","4425","33484","2337","402501","2387","6095","876","283680","6101","252448","6325","35861","2251","216587","5900",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3011","408","2911","429","100","70","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","4301","507","2314","357","1780","345","61","97","0","13","0","13","140","200","6","10","0","13","6","10",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","5609","467","4078","509","817","347","0","19","139","154","0","19","318","310","257","214","39","69","218","199",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1669","240","1216","183","419","191","4","7","0","13","0","13","28","42","2","4","0","13","2","4",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3864","425","3514","395","247","172","7","12","0","13","0","13","57","94","39","47","0","13","39","47",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2075","282","1416","256","413","129","0","13","0","13","0","13","233","144","13","18","12","17","1","3",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4622","303","3076","215","1052","137","0","13","0","13","0","13","487","228","7","10","6","10","1","3",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1568","250","1475","248","19","27","60","5","0","13","0","13","5","10","9","15","9","15","0","13",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2870","349","2774","358","59","66","0","13","3","7","0","13","0","13","34","29","0","13","34","29",
