GEOID,PM25_2018,PM25_2019,PM25_2020,PM25_2021,PM25_2022,PM25_mean_2018_2022,COPD_Prev,Asthma_Prev,Poverty_Rate,Pct_Black,Pct_College
13001950100,6.9406649718809,7.416624063116205,6.9549872234959125,7.789002599008858,7.322506398496116,7.284757051199598,10.6,10.1,28.840298920564628,9.619625137816978,8.241494968854814
13001950200,6.550510199702516,7.029591820677933,,,,6.790051010190224,10.0,11.1,,,
13001950201,,,6.70895523099757,7.526119385192644,7.070149236650609,7.101741284280275,9.5,11.0,17.391304347826086,23.285953177257525,6.76779463243874
13001950202,,,6.3662162084837215,7.183783750276308,6.718918897010185,6.756306285256738,11.1,11.9,21.203703703703702,52.18127911901737,2.7607361963190185
13001950300,6.439583356181781,6.9260416477918625,,,,6.682812501986822,13.1,11.0,,,
13001950301,,,6.529268264770508,7.319512204426091,6.829268327573451,6.892682932256683,9.5,10.5,12.962962962962962,4.086892488954344,4.811715481171548
13001950302,,,6.387301581246512,7.18888887526497,6.712698383936806,6.7629629468160966,13.0,12.0,37.74872086412734,13.644115974985787,6.425702811244979
13001950400,6.4480769370610895,6.981730775191234,6.4855769253694096,7.231250009857691,6.7814903780817986,6.785625005112244,10.8,10.2,17.16114019778941,15.18324607329843,6.039689387402934
13001950500,6.577163463601699,7.083173073255098,6.56490384042263,7.356490399975043,6.873557694829428,6.89105769441678,10.9,10.1,35.46209761163032,15.494050698396276,3.9826498422712935
13003960100,6.479124586188833,6.729292932182852,6.16161613271694,6.981481497536604,6.400336726346,6.550370374994246,12.5,11.5,17.156398104265403,21.895734597156398,2.8720626631853787
13003960200,6.588452660734604,6.824942251826544,6.297459572622462,7.076674373265502,6.545496551874879,6.666605082064798,10.2,10.5,31.741140215716484,17.235345581802274,5.265005265005265
13003960300,6.6494661836861715,6.9637010665975,6.433451952883357,7.1886121132195635,6.696797165582188,6.786405696393755,11.9,10.7,29.185091598231207,0.5685407454200885,10.303587856485741
13005970100,6.430424529426503,6.919811314007021,6.471698114332163,7.212500003148925,6.720047169136551,6.750896226010232,10.0,9.9,8.48605577689243,0.5179282868525896,11.735205616850552
13005970201,6.24512819143442,6.7271794685950645,6.225128195835993,7.027692308181371,6.501025640047514,6.545230760818873,11.0,10.5,22.637313764732045,19.446247025740863,2.8688524590163933
13005970202,6.442543868432965,6.9671052568837215,6.453070149087069,7.213596515488207,6.71929827489351,6.759122812957093,11.7,10.7,29.73587049133769,19.151061173533083,2.3431594860166287
13007960100,7.814925393951473,8.17164182751926,7.300559703093856,8.308395545874069,7.823507481546544,7.8838059903970406,9.9,10.9,23.73247033441208,37.702265372168284,12.5533731853117
13007960200,7.90146753423119,8.25618450996511,7.401677160642932,8.314884732604277,7.886373184012167,7.952117424291136,9.1,10.0,22.0703125,27.5390625,9.049773755656108
13009970100,6.429602900136679,7.263537907858618,,,,6.8465704039976485,8.2,10.0,,,
13009970101,,,6.655421679278454,7.423493974180107,7.030722873756685,7.036546175738415,7.5,10.9,1.5793848711554446,59.68412302576891,12.185159972770593
13009970102,,,6.611200000762939,7.292799987792969,6.961600013732911,6.9552000007629395,9.2,10.6,16.995650719304116,27.23318835731014,11.948853615520282
13009970200,6.368421086093836,7.243859634064791,,,,6.806140360079313,8.0,10.1,,,
13009970201,,,6.599999989782061,7.292857153075082,6.971428615706308,6.95476191952115,8.3,12.2,31.338862559241704,45.82345971563981,20.71269487750557
13009970202,,,6.670588226879344,7.317647092482623,6.976470610674689,6.988235310012219,8.8,10.2,18.295218295218298,25.8984258984259,23.907825252040325
13009970300,6.497802205138154,7.325274729466701,,,,6.911538467302427,6.6,9.2,,,
13009970301,,,6.824074091734709,7.438888911847715,7.1462962804017245,7.13641976132805,6.2,9.6,5.985401459854015,32.00729927007299,25.609756097560975
13009970302,,,6.646808522812863,7.3170212989157815,7.010638287726869,6.991489369818505,6.4,10.1,3.8976495090746797,43.54980899206583,22.030040964952207
13009970400,6.250000068119594,6.985714265278408,6.364285741533552,7.042857136045184,6.714285748345511,6.67142859186445,8.0,11.1,23.783031988873436,44.02292576419214,9.890997174000807
13009970500,6.619540228240791,7.397701140107779,,,,7.008620684174286,8.2,11.9,,,
13009970501,,,6.238461531125582,6.953846124502329,6.600000051351694,6.597435902326535,11.9,15.4,76.77605481428056,38.8860103626943,6.339712918660287
13009970502,,,6.850299384065731,7.524550900487843,7.17425150214555,7.183033928899708,6.6,11.8,12.445175438596491,38.35616438356164,11.551844119693806
13009970600,6.5769231136028585,7.457692274680505,6.823076926744902,7.546153875497671,7.211538461538462,7.12307693041288,11.8,12.7,24.16838386811893,65.94020676166527,7.235041063746578
13009970701,6.62500003973643,7.558333357175191,6.8666666348775225,7.575000047683716,7.283333261807759,7.181666668256123,10.3,12.2,48.8235294117647,57.17526942711287,6.358381502890173
13009970702,6.76842104761224,7.689473679191188,7.010526280654104,7.752631614082738,7.4631578796788265,7.336842100243819,12.5,10.9,33.80855397148676,64.87912087912088,21.36653155761436
13009970800,6.4299578042975964,7.250210969256952,,,,6.840084386777274,10.2,10.7,,,
13009970801,,,6.638028164984474,7.422535228057646,7.034507026135082,7.031690139725733,9.5,10.7,6.04515659140568,20.825787758058674,10.69723018147087
13009970802,,,6.66033058324136,7.414049597811108,7.041322270700754,7.038567483917741,8.6,10.2,24.230517354289457,34.47078054760932,3.946694003075346
13011970100,6.788557211558024,7.631343298290499,7.472413805317996,7.52857144595367,7.569458144051688,7.398068781034375,10.2,9.7,19.62730403078793,0.0,11.789181692094314
13011970200,6.866810358803848,7.668534500845547,7.521120692121571,7.612500022197592,7.635775874400961,7.460948289673904,10.9,10.2,10.698913711826194,2.5997952917093143,8.393719806763285
13011970300,6.907272729006681,7.688484853686709,7.579518082630203,7.701807231788176,7.687349414250937,7.512886462272542,8.9,9.6,9.376401973979362,2.0764303070466092,12.07115628970775
13011970400,7.052564110511389,7.873076979930584,7.68269234131544,7.793589775378887,7.806410303482642,7.641666702123788,9.7,10.0,12.47825006214268,7.954262987820035,10.06267409470752
13013180103,7.331250011920929,8.083333333333334,7.737500001986821,8.114583402872086,8.066666732231775,7.8666666964689895,6.6,8.5,7.815098104423013,9.89358164283339,16.941941941941945
13013180104,6.852941204519833,7.623529434204102,7.233333322736952,7.67777779367235,7.538888931274414,7.385294137281529,8.0,9.7,5.224740683826354,9.80467253925699,7.495642068564788
13013180105,7.048484845594927,7.7636363145076865,7.390909122698234,7.800000002889922,7.724242470481179,7.54545455123439,6.8,8.9,7.234886025768088,1.47977638934561,12.047058823529412
