"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US13021011800","Census Tract 118, Bibb County, Georgia","48950","9288",
"1400000US13021011900","Census Tract 119, Bibb County, Georgia","25484","3519",
"1400000US13021012000","Census Tract 120, Bibb County, Georgia","54280","4905",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","65417","13337",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","42161","4645",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","23705","4459",
"1400000US13021012300","Census Tract 123, Bibb County, Georgia","17598","4608",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","21424","1621",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","19914","5561",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","19905","3392",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","12500","4133",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","10330","3946",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","19879","3597",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","25417","4028",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","34196","9628",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","30064","5559",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","23958","6909",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","34925","8147",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","39612","15333",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","101094","16358",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","58250","10287",
"1400000US13021013410","Census Tract 134.10, Bibb County, Georgia","87375","9838",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","60034","16043",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","41920","7755",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","55208","34567",
"1400000US13021013504","Census Tract 135.04, Bibb County, Georgia","64932","6961",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","54205","11675",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","62703","3618",
"1400000US13021013605","Census Tract 136.05, Bibb County, Georgia","60985","9047",
"1400000US13021013606","Census Tract 136.06, Bibb County, Georgia","60298","11529",
"1400000US13021013700","Census Tract 137, Bibb County, Georgia","17813","3936",
"1400000US13021013800","Census Tract 138, Bibb County, Georgia","21222","4935",
"1400000US13021013900","Census Tract 139, Bibb County, Georgia","24000","5331",
"1400000US13023790100","Census Tract 7901, Bleckley County, Georgia","41486","7145",
"1400000US13023790200","Census Tract 7902, Bleckley County, Georgia","30156","7337",
"1400000US13023790300","Census Tract 7903, Bleckley County, Georgia","42196","8919",
"1400000US13025960100","Census Tract 9601, Brantley County, Georgia","42402","6060",
"1400000US13025960200","Census Tract 9602, Brantley County, Georgia","31372","4645",
"1400000US13025960300","Census Tract 9603, Brantley County, Georgia","35557","10155",
"1400000US13027960200","Census Tract 9602, Brooks County, Georgia","41029","8178",
"1400000US13027960300","Census Tract 9603, Brooks County, Georgia","31786","8002",
"1400000US13027960400","Census Tract 9604, Brooks County, Georgia","31447","4902",
"1400000US13027960500","Census Tract 9605, Brooks County, Georgia","25469","7321",
"1400000US13027960600","Census Tract 9606, Brooks County, Georgia","36360","8616",
"1400000US13029920101","Census Tract 9201.01, Bryan County, Georgia","43357","6624",
"1400000US13029920102","Census Tract 9201.02, Bryan County, Georgia","41521","10172",
"1400000US13029920301","Census Tract 9203.01, Bryan County, Georgia","59141","10100",
"1400000US13029920303","Census Tract 9203.03, Bryan County, Georgia","47043","6548",
"1400000US13029920305","Census Tract 9203.05, Bryan County, Georgia","93967","18560",
"1400000US13029920306","Census Tract 9203.06, Bryan County, Georgia","90462","14548",
"1400000US13029980000","Census Tract 9800, Bryan County, Georgia","-","**",
"1400000US13031110100","Census Tract 1101, Bulloch County, Georgia","34604","5344",
"1400000US13031110200","Census Tract 1102, Bulloch County, Georgia","40444","10480",
"1400000US13031110300","Census Tract 1103, Bulloch County, Georgia","50522","6082",
"1400000US13031110401","Census Tract 1104.01, Bulloch County, Georgia","24449","5404",
"1400000US13031110403","Census Tract 1104.03, Bulloch County, Georgia","19708","2771",
"1400000US13031110404","Census Tract 1104.04, Bulloch County, Georgia","8603","8156",
"1400000US13031110500","Census Tract 1105, Bulloch County, Georgia","27350","6148",
"1400000US13031110601","Census Tract 1106.01, Bulloch County, Georgia","43555","9900",
"1400000US13031110602","Census Tract 1106.02, Bulloch County, Georgia","34708","7138",
"1400000US13031110700","Census Tract 1107, Bulloch County, Georgia","48716","10062",
"1400000US13031110800","Census Tract 1108, Bulloch County, Georgia","38310","6950",
"1400000US13031110900","Census Tract 1109, Bulloch County, Georgia","46086","13780",
"1400000US13033950100","Census Tract 9501, Burke County, Georgia","33905","7911",
"1400000US13033950200","Census Tract 9502, Burke County, Georgia","29604","7300",
"1400000US13033950400","Census Tract 9504, Burke County, Georgia","24295","5318",
"1400000US13033950500","Census Tract 9505, Burke County, Georgia","38569","6604",
"1400000US13033950700","Census Tract 9507, Burke County, Georgia","36364","5311",
"1400000US13033950900","Census Tract 9509, Burke County, Georgia","39524","7754",
"1400000US13035150100","Census Tract 1501, Butts County, Georgia","54035","11780",
"1400000US13035150200","Census Tract 1502, Butts County, Georgia","35007","5427",
