"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US13021011800","Census Tract 118, Bibb County, Georgia","9729","49239",
"1400000US13021011900","Census Tract 119, Bibb County, Georgia","9280","43399",
"1400000US13021012000","Census Tract 120, Bibb County, Georgia","5753","62078",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","34599","53426",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","6057","45026",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","23403","41324",
"1400000US13021012300","Census Tract 123, Bibb County, Georgia","3782","23470",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","7345","31146",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","2164","16941",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","4203","27388",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","7679","17066",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","3601","16533",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","5197","21732",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","6438","24381",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","4273","36712",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","5966","24593",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","12498","29342",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","2681","33049",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","9152","50804",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","14502","100978",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","19222","59886",
"1400000US13021013410","Census Tract 134.10, Bibb County, Georgia","12311","72092",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","8606","60815",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","13035","34875",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","16203","62894",
"1400000US13021013504","Census Tract 135.04, Bibb County, Georgia","7008","67705",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","17005","56413",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","13543","51912",
"1400000US13021013605","Census Tract 136.05, Bibb County, Georgia","14110","49286",
"1400000US13021013606","Census Tract 136.06, Bibb County, Georgia","4868","66938",
"1400000US13021013700","Census Tract 137, Bibb County, Georgia","9448","23173",
"1400000US13021013800","Census Tract 138, Bibb County, Georgia","3461","13958",
"1400000US13021013900","Census Tract 139, Bibb County, Georgia","11271","30150",
"1400000US13023790100","Census Tract 7901, Bleckley County, Georgia","9398","41117",
"1400000US13023790200","Census Tract 7902, Bleckley County, Georgia","6718","34190",
"1400000US13023790300","Census Tract 7903, Bleckley County, Georgia","5185","34033",
"1400000US13025960100","Census Tract 9601, Brantley County, Georgia","8298","36232",
"1400000US13025960200","Census Tract 9602, Brantley County, Georgia","2128","33919",
"1400000US13025960300","Census Tract 9603, Brantley County, Georgia","6345","40709",
"1400000US13027960200","Census Tract 9602, Brooks County, Georgia","5367","37448",
"1400000US13027960300","Census Tract 9603, Brooks County, Georgia","5154","46382",
"1400000US13027960400","Census Tract 9604, Brooks County, Georgia","19993","43571",
"1400000US13027960500","Census Tract 9605, Brooks County, Georgia","15494","21913",
"1400000US13027960600","Census Tract 9606, Brooks County, Georgia","19787","35764",
"1400000US13029920101","Census Tract 9201.01, Bryan County, Georgia","6584","45840",
"1400000US13029920102","Census Tract 9201.02, Bryan County, Georgia","10741","47533",
"1400000US13029920301","Census Tract 9203.01, Bryan County, Georgia","10897","90221",
"1400000US13029920303","Census Tract 9203.03, Bryan County, Georgia","9638","42083",
"1400000US13029920305","Census Tract 9203.05, Bryan County, Georgia","7990","100817",
"1400000US13029920306","Census Tract 9203.06, Bryan County, Georgia","6039","83467",
"1400000US13029980000","Census Tract 9800, Bryan County, Georgia","**","-",
"1400000US13031110100","Census Tract 1101, Bulloch County, Georgia","7762","38958",
"1400000US13031110200","Census Tract 1102, Bulloch County, Georgia","5235","37552",
"1400000US13031110300","Census Tract 1103, Bulloch County, Georgia","4487","51233",
"1400000US13031110401","Census Tract 1104.01, Bulloch County, Georgia","3850","20677",
"1400000US13031110403","Census Tract 1104.03, Bulloch County, Georgia","4145","10639",
"1400000US13031110404","Census Tract 1104.04, Bulloch County, Georgia","2054","5816",
"1400000US13031110500","Census Tract 1105, Bulloch County, Georgia","6142","37587",
"1400000US13031110601","Census Tract 1106.01, Bulloch County, Georgia","5934","33613",
"1400000US13031110602","Census Tract 1106.02, Bulloch County, Georgia","12130","28942",
"1400000US13031110700","Census Tract 1107, Bulloch County, Georgia","6795","48480",
"1400000US13031110800","Census Tract 1108, Bulloch County, Georgia","9269","42250",
"1400000US13031110900","Census Tract 1109, Bulloch County, Georgia","5605","51250",
"1400000US13033950100","Census Tract 9501, Burke County, Georgia","6234","36099",
"1400000US13033950200","Census Tract 9502, Burke County, Georgia","8026","39643",
"1400000US13033950400","Census Tract 9504, Burke County, Georgia","5635","23638",
"1400000US13033950500","Census Tract 9505, Burke County, Georgia","6254","39355",
"1400000US13033950700","Census Tract 9507, Burke County, Georgia","6348","34637",
"1400000US13033950900","Census Tract 9509, Burke County, Georgia","7409","32888",
"1400000US13035150100","Census Tract 1501, Butts County, Georgia","3117","57507",
"1400000US13035150200","Census Tract 1502, Butts County, Georgia","3736","39227",
"1400000US13035150300","Census Tract 1503, Butts County, Georgia","5569","59741",
"1400000US13037950100","Census Tract 9501, Calhoun County, Georgia","6128","38646",
"1400000US13037950200","Census Tract 9502, Calhoun County, Georgia","7396","26908",
"1400000US13039010100","Census Tract 101, Camden County, Georgia","5915","38824",
"1400000US13039010200","Census Tract 102, Camden County, Georgia","7736","59821",
"1400000US13039010301","Census Tract 103.01, Camden County, Georgia","10762","35595",
"1400000US13039010302","Census Tract 103.02, Camden County, Georgia","6111","44432",
"1400000US13039010401","Census Tract 104.01, Camden County, Georgia","3105","51860",
"1400000US13039010402","Census Tract 104.02, Camden County, Georgia","9565","67273",
"1400000US13039010403","Census Tract 104.03, Camden County, Georgia","13146","73250",
"1400000US13039010500","Census Tract 105, Camden County, Georgia","2449","41860",
"1400000US13039010601","Census Tract 106.01, Camden County, Georgia","5653","43544",
"1400000US13039010602","Census Tract 106.02, Camden County, Georgia","9734","64009",
"1400000US13039990000","Census Tract 9900, Camden County, Georgia","**","-",
"1400000US13043950100","Census Tract 9501, Candler County, Georgia","5654","28352",
"1400000US13043950200","Census Tract 9502, Candler County, Georgia","15644","47679",
"1400000US13043950300","Census Tract 9503, Candler County, Georgia","10134","37209",
"1400000US13045910101","Census Tract 9101.01, Carroll County, Georgia","3877","40625",
"1400000US13045910103","Census Tract 9101.03, Carroll County, Georgia","8861","62961",
"1400000US13045910104","Census Tract 9101.04, Carroll County, Georgia","4795","52438",
"1400000US13045910200","Census Tract 9102, Carroll County, Georgia","7109","50128",
"1400000US13045910300","Census Tract 9103, Carroll County, Georgia","6483","45656",
"1400000US13045910400","Census Tract 9104, Carroll County, Georgia","5258","42793",
"1400000US13045910501","Census Tract 9105.01, Carroll County, Georgia","6787","35810",
"1400000US13045910502","Census Tract 9105.02, Carroll County, Georgia","5049","17649",
"1400000US13045910600","Census Tract 9106, Carroll County, Georgia","9901","47016",
"1400000US13045910701","Census Tract 9107.01, Carroll County, Georgia","4121","44894",
"1400000US13045910702","Census Tract 9107.02, Carroll County, Georgia","6231","62245",
"1400000US13045910703","Census Tract 9107.03, Carroll County, Georgia","9664","34787",
"1400000US13045910800","Census Tract 9108, Carroll County, Georgia","5159","51947",
"1400000US13045910900","Census Tract 9109, Carroll County, Georgia","6286","48878",
"1400000US13045911000","Census Tract 9110, Carroll County, Georgia","7026","40994",
"1400000US13045911100","Census Tract 9111, Carroll County, Georgia","4442","42042",
"1400000US13045911200","Census Tract 9112, Carroll County, Georgia","7438","44750",
"1400000US13047030100","Census Tract 301, Catoosa County, Georgia","4448","42589",
"1400000US13047030201","Census Tract 302.01, Catoosa County, Georgia","7020","36477",
"1400000US13047030202","Census Tract 302.02, Catoosa County, Georgia","11977","63722",
"1400000US13047030301","Census Tract 303.01, Catoosa County, Georgia","12071","58681",
"1400000US13047030303","Census Tract 303.03, Catoosa County, Georgia","12125","50679",
"1400000US13047030304","Census Tract 303.04, Catoosa County, Georgia","10543","60777",
"1400000US13047030401","Census Tract 304.01, Catoosa County, Georgia","7608","66782",
"1400000US13047030402","Census Tract 304.02, Catoosa County, Georgia","6120","51115",
"1400000US13047030500","Census Tract 305, Catoosa County, Georgia","4161","35537",
"1400000US13047030600","Census Tract 306, Catoosa County, Georgia","6093","35950",
"1400000US13047030700","Census Tract 307, Catoosa County, Georgia","5245","34375",
"1400000US13049010100","Census Tract 101, Charlton County, Georgia","5380","40968",
"1400000US13049010200","Census Tract 102, Charlton County, Georgia","19153","39803",
"1400000US13051000100","Census Tract 1, Chatham County, Georgia","1810","6336",
"1400000US13051000300","Census Tract 3, Chatham County, Georgia","16916","47273",
"1400000US13051000601","Census Tract 6.01, Chatham County, Georgia","3709","19320",
"1400000US13051000900","Census Tract 9, Chatham County, Georgia","20953","27344",
"1400000US13051001100","Census Tract 11, Chatham County, Georgia","9435","23558",
"1400000US13051001200","Census Tract 12, Chatham County, Georgia","6048","14273",
"1400000US13051001500","Census Tract 15, Chatham County, Georgia","4212","10473",
"1400000US13051002000","Census Tract 20, Chatham County, Georgia","9385","14912",
"1400000US13051002100","Census Tract 21, Chatham County, Georgia","6576","20637",
"1400000US13051002200","Census Tract 22, Chatham County, Georgia","5731","27231",
"1400000US13051002300","Census Tract 23, Chatham County, Georgia","5973","20652",
"1400000US13051002600","Census Tract 26, Chatham County, Georgia","24722","41429",
"1400000US13051002700","Census Tract 27, Chatham County, Georgia","3733","29314",
"1400000US13051002800","Census Tract 28, Chatham County, Georgia","5328","25114",
"1400000US13051002900","Census Tract 29, Chatham County, Georgia","12160","73162",
"1400000US13051003000","Census Tract 30, Chatham County, Georgia","14588","64167",
"1400000US13051003301","Census Tract 33.01, Chatham County, Georgia","5472","26412",
"1400000US13051003302","Census Tract 33.02, Chatham County, Georgia","14796","44688",
"1400000US13051003400","Census Tract 34, Chatham County, Georgia","3068","42980",
"1400000US13051003501","Census Tract 35.01, Chatham County, Georgia","2560","22233",
"1400000US13051003502","Census Tract 35.02, Chatham County, Georgia","8682","36108",
"1400000US13051003601","Census Tract 36.01, Chatham County, Georgia","3711","25810",
"1400000US13051003602","Census Tract 36.02, Chatham County, Georgia","4763","28609",
"1400000US13051003700","Census Tract 37, Chatham County, Georgia","5522","28493",
"1400000US13051003800","Census Tract 38, Chatham County, Georgia","4098","32188",
"1400000US13051003900","Census Tract 39, Chatham County, Georgia","4904","44221",
"1400000US13051004001","Census Tract 40.01, Chatham County, Georgia","4472","36490",
"1400000US13051004002","Census Tract 40.02, Chatham County, Georgia","6502","33205",
"1400000US13051004100","Census Tract 41, Chatham County, Georgia","14129","56458",
"1400000US13051004207","Census Tract 42.07, Chatham County, Georgia","8547","40156",
"1400000US13051004208","Census Tract 42.08, Chatham County, Georgia","9423","40577",
"1400000US13051004209","Census Tract 42.09, Chatham County, Georgia","5222","42019",
"1400000US13051004210","Census Tract 42.10, Chatham County, Georgia","5770","32618",
"1400000US13051004211","Census Tract 42.11, Chatham County, Georgia","6274","46007",
"1400000US13051004212","Census Tract 42.12, Chatham County, Georgia","10526","55205",
"1400000US13051004300","Census Tract 43, Chatham County, Georgia","6005","34405",
"1400000US13051004400","Census Tract 44, Chatham County, Georgia","4295","23210",
"1400000US13051004500","Census Tract 45, Chatham County, Georgia","7409","40231",
"1400000US13051010101","Census Tract 101.01, Chatham County, Georgia","7888","12571",
"1400000US13051010102","Census Tract 101.02, Chatham County, Georgia","11455","40688",
"1400000US13051010200","Census Tract 102, Chatham County, Georgia","7817","56763",
"1400000US13051010501","Census Tract 105.01, Chatham County, Georgia","7361","37129",
"1400000US13051010502","Census Tract 105.02, Chatham County, Georgia","11139","35078",
"1400000US13051010601","Census Tract 106.01, Chatham County, Georgia","6049","34203",
"1400000US13051010603","Census Tract 106.03, Chatham County, Georgia","7818","41316",
"1400000US13051010605","Census Tract 106.05, Chatham County, Georgia","**","-",
"1400000US13051010700","Census Tract 107, Chatham County, Georgia","8708","65383",
"1400000US13051010801","Census Tract 108.01, Chatham County, Georgia","2744","51962",
"1400000US13051010802","Census Tract 108.02, Chatham County, Georgia","7439","60194",
"1400000US13051010803","Census Tract 108.03, Chatham County, Georgia","7543","71049",
"1400000US13051010806","Census Tract 108.06, Chatham County, Georgia","15143","52500",
"1400000US13051010807","Census Tract 108.07, Chatham County, Georgia","5475","63491",
"1400000US13051010808","Census Tract 108.08, Chatham County, Georgia","4929","42203",
"1400000US13051010809","Census Tract 108.09, Chatham County, Georgia","5681","61268",
"1400000US13051010901","Census Tract 109.01, Chatham County, Georgia","6629","35294",
"1400000US13051011003","Census Tract 110.03, Chatham County, Georgia","7096","62099",
"1400000US13051011004","Census Tract 110.04, Chatham County, Georgia","6857","94031",
"1400000US13051011005","Census Tract 110.05, Chatham County, Georgia","11548","102841",
"1400000US13051011006","Census Tract 110.06, Chatham County, Georgia","24248","89833",
"1400000US13051011103","Census Tract 111.03, Chatham County, Georgia","5413","53309",
"1400000US13051011104","Census Tract 111.04, Chatham County, Georgia","7716","60054",
"1400000US13051011106","Census Tract 111.06, Chatham County, Georgia","3035","56534",
"1400000US13051011107","Census Tract 111.07, Chatham County, Georgia","7009","64433",
"1400000US13051011108","Census Tract 111.08, Chatham County, Georgia","8741","83942",
"1400000US13051011109","Census Tract 111.09, Chatham County, Georgia","11531","72857",
"1400000US13051011200","Census Tract 112, Chatham County, Georgia","18550","33750",
"1400000US13051011300","Census Tract 113, Chatham County, Georgia","3939","13627",
"1400000US13051011400","Census Tract 114, Chatham County, Georgia","7742","17583",
"1400000US13051011500","Census Tract 115, Chatham County, Georgia","7920","84688",
"1400000US13051011600","Census Tract 116, Chatham County, Georgia","8882","26722",
"1400000US13051980000","Census Tract 9800, Chatham County, Georgia","**","-",
"1400000US13051990000","Census Tract 9900, Chatham County, Georgia","**","-",
"1400000US13053020100","Census Tract 201, Chattahoochee County, Georgia","18436","46215",
"1400000US13053020201","Census Tract 202.01, Chattahoochee County, Georgia","20386","60972",
"1400000US13053020203","Census Tract 202.03, Chattahoochee County, Georgia","14061","51090",
"1400000US13053020205","Census Tract 202.05, Chattahoochee County, Georgia","17469","52180",
"1400000US13053020206","Census Tract 202.06, Chattahoochee County, Georgia","38933","28523",
"1400000US13055010100","Census Tract 101, Chattooga County, Georgia","4748","52828",
"1400000US13055010200","Census Tract 102, Chattooga County, Georgia","4543","29577",
"1400000US13055010300","Census Tract 103, Chattooga County, Georgia","3152","30141",
"1400000US13055010400","Census Tract 104, Chattooga County, Georgia","4673","33294",
"1400000US13055010500","Census Tract 105, Chattooga County, Georgia","5602","28668",
"1400000US13055010600","Census Tract 106, Chattooga County, Georgia","6695","36728",
"1400000US13057090100","Census Tract 901, Cherokee County, Georgia","6137","61384",
"1400000US13057090200","Census Tract 902, Cherokee County, Georgia","7299","54815",
