"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)",
"0400000US13","Georgia","49736","264",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","39881","9480",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","28510","3931",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","39046","10927",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","38173","9842",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","36731","8364",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","26111","7917",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","33356","2988",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","33991","6150",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","41339","18333",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","29610","5664",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","31652","4798",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","27420","11363",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","27083","8719",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","42383","5834",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","38542","7480",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","49076","13576",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","29718","8125",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","25750","6059",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","32075","9687",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","21554","4627",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","32500","12662",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","41645","7963",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","39263","4470",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","44559","6329",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","39857","5306",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","46763","10535",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","60712","13892",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","46481","20169",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","52500","15782",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","46165","6311",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","39380","4004",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","61100","9578",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","29225","7948",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","41326","7947",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","34384","14471",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","57772","6132",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","52109","13876",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","59890","4925",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","52957","9541",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","58846","9358",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","46179","4667",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","51226","4303",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","52551","13389",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","57786","12534",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","70690","21228",
"1400000US13015960102","Census Tract 9601.02, Bartow County, Georgia","61181","9547",
"1400000US13015960200","Census Tract 9602, Bartow County, Georgia","42295","4668",
"1400000US13015960300","Census Tract 9603, Bartow County, Georgia","58097","7754",
