"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"0400000US13","Georgia","51037","182",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","57000","12560",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","33519","3717",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","35284","4047",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","29875","7280",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","41800","4402",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","32045","3716",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","29881","4631",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","35417","12994",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","41466","13141",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","39792","12954",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","34270","2568",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","44091","6976",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","47798","8392",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","49112","11127",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","38661","10353",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","54701","5857",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","29375","6159",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","16052","2432",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","26168","4746",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","17480","11763",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","32153","11162",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","36518","6125",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","40448","4158",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","42556","4431",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","45096","7846",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","35958","3106",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","78545","11222",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","40385","12177",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","69338","10930",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","51393","3824",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","50351","6301",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","51250","9461",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","36400","5833",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","37614","12792",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","40139","4295",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","59028","12878",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","65119","9915",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","53486","3546",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","54956","12737",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","59080","6247",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","50900","8358",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","54963","9963",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","47213","11331",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","63889","7400",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","57713","11327",
"1400000US13015960102","Census Tract 9601.02, Bartow County, Georgia","67639","7422",
"1400000US13015960200","Census Tract 9602, Bartow County, Georgia","43181","5839",
"1400000US13015960300","Census Tract 9603, Bartow County, Georgia","60550","16907",
"1400000US13015960401","Census Tract 9604.01, Bartow County, Georgia","48562","11162",
"1400000US13015960402","Census Tract 9604.02, Bartow County, Georgia","55856","8839",
"1400000US13015960500","Census Tract 9605, Bartow County, Georgia","46313","10409",
"1400000US13015960600","Census Tract 9606, Bartow County, Georgia","49448","3667",
"1400000US13015960700","Census Tract 9607, Bartow County, Georgia","42318","6026",
"1400000US13015960801","Census Tract 9608.01, Bartow County, Georgia","52037","5735",
"1400000US13015960802","Census Tract 9608.02, Bartow County, Georgia","33393","10984",
"1400000US13015960803","Census Tract 9608.03, Bartow County, Georgia","47483","3652",
"1400000US13015960901","Census Tract 9609.01, Bartow County, Georgia","51836","5255",
"1400000US13015960902","Census Tract 9609.02, Bartow County, Georgia","58518","4860",
"1400000US13015961000","Census Tract 9610, Bartow County, Georgia","59063","7636",
"1400000US13017960100","Census Tract 9601, Ben Hill County, Georgia","41583","4561",
"1400000US13017960200","Census Tract 9602, Ben Hill County, Georgia","46583","5421",
"1400000US13017960300","Census Tract 9603, Ben Hill County, Georgia","26184","4904",
"1400000US13017960400","Census Tract 9604, Ben Hill County, Georgia","26510","2451",
"1400000US13017960500","Census Tract 9605, Ben Hill County, Georgia","28317","8500",
"1400000US13019970100","Census Tract 9701, Berrien County, Georgia","39000","6979",
"1400000US13019970200","Census Tract 9702, Berrien County, Georgia","31250","4424",
"1400000US13019970300","Census Tract 9703, Berrien County, Georgia","37152","6311",
"1400000US13019970400","Census Tract 9704, Berrien County, Georgia","24952","6567",
"1400000US13019970500","Census Tract 9705, Berrien County, Georgia","40927","2369",
"1400000US13019970600","Census Tract 9706, Berrien County, Georgia","34250","13284",
"1400000US13021010100","Census Tract 101, Bibb County, Georgia","17708","5466",
"1400000US13021010200","Census Tract 102, Bibb County, Georgia","26191","3078",
"1400000US13021010300","Census Tract 103, Bibb County, Georgia","24318","4874",
"1400000US13021010400","Census Tract 104, Bibb County, Georgia","17031","8125",
"1400000US13021010500","Census Tract 105, Bibb County, Georgia","9609","1581",
"1400000US13021010800","Census Tract 108, Bibb County, Georgia","35739","4747",
"1400000US13021011000","Census Tract 110, Bibb County, Georgia","22273","6099",
"1400000US13021011100","Census Tract 111, Bibb County, Georgia","13191","3840",
"1400000US13021011500","Census Tract 115, Bibb County, Georgia","14083","5593",
"1400000US13021011701","Census Tract 117.01, Bibb County, Georgia","35807","4033",
"1400000US13021011702","Census Tract 117.02, Bibb County, Georgia","35809","5733",
"1400000US13021011800","Census Tract 118, Bibb County, Georgia","48667","10545",
"1400000US13021011900","Census Tract 119, Bibb County, Georgia","26572","4700",
"1400000US13021012000","Census Tract 120, Bibb County, Georgia","59844","8477",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","59196","13693",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","42005","7292",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","23816","5145",
"1400000US13021012300","Census Tract 123, Bibb County, Georgia","20049","4811",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","20978","2337",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","14853","3302",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","18323","4585",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","11342","1459",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","13438","9327",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","20862","4422",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","23736","3577",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","29773","9677",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","33030","5038",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","21555","10404",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","34310","6011",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","42730","8965",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","99239","17223",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","60583","10324",
"1400000US13021013410","Census Tract 134.10, Bibb County, Georgia","88107","8359",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","61494","13565",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","44231","20061",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","46802","12591",
"1400000US13021013504","Census Tract 135.04, Bibb County, Georgia","63087","6264",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","60625","16638",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","59844","9958",
