"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"0400000US13","Georgia","71355","353",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","56997","23482",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","47473","15898",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","30320","11992",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","44198","18191",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","35174","11918",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","47426","20024",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","37548","11596",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","35240","9662",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","40990","10809",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","44250","37371",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","51613","18000",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","46491","10508",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","31964","7727",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","48269","15142",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","42019","16817",
"1400000US13009970101","Census Tract 9701.01; Baldwin County; Georgia","91250","24593",
"1400000US13009970102","Census Tract 9701.02; Baldwin County; Georgia","66739","39188",
"1400000US13009970201","Census Tract 9702.01; Baldwin County; Georgia","35600","9779",
"1400000US13009970202","Census Tract 9702.02; Baldwin County; Georgia","68681","17046",
"1400000US13009970301","Census Tract 9703.01; Baldwin County; Georgia","81136","7770",
"1400000US13009970302","Census Tract 9703.02; Baldwin County; Georgia","78125","26679",
"1400000US13009970400","Census Tract 9704; Baldwin County; Georgia","56848","14049",
"1400000US13009970501","Census Tract 9705.01; Baldwin County; Georgia","15921","6758",
"1400000US13009970502","Census Tract 9705.02; Baldwin County; Georgia","-","**",
"1400000US13009970600","Census Tract 9706; Baldwin County; Georgia","38505","10043",
"1400000US13009970701","Census Tract 9707.01; Baldwin County; Georgia","16773","7728",
"1400000US13009970702","Census Tract 9707.02; Baldwin County; Georgia","45618","13921",
"1400000US13009970801","Census Tract 9708.01; Baldwin County; Georgia","65200","23401",
"1400000US13009970802","Census Tract 9708.02; Baldwin County; Georgia","53879","28869",
"1400000US13011970100","Census Tract 9701; Banks County; Georgia","57586","19715",
"1400000US13011970200","Census Tract 9702; Banks County; Georgia","74601","11325",
"1400000US13011970300","Census Tract 9703; Banks County; Georgia","75071","20039",
"1400000US13011970400","Census Tract 9704; Banks County; Georgia","62424","24202",
"1400000US13013180103","Census Tract 1801.03; Barrow County; Georgia","111371","23287",
"1400000US13013180104","Census Tract 1801.04; Barrow County; Georgia","78688","3153",
"1400000US13013180105","Census Tract 1801.05; Barrow County; Georgia","85938","15178",
"1400000US13013180106","Census Tract 1801.06; Barrow County; Georgia","59236","7280",
"1400000US13013180107","Census Tract 1801.07; Barrow County; Georgia","69404","24884",
"1400000US13013180108","Census Tract 1801.08; Barrow County; Georgia","89117","8575",
"1400000US13013180203","Census Tract 1802.03; Barrow County; Georgia","50821","6185",
"1400000US13013180204","Census Tract 1802.04; Barrow County; Georgia","68473","2242",
"1400000US13013180205","Census Tract 1802.05; Barrow County; Georgia","56606","5502",
"1400000US13013180206","Census Tract 1802.06; Barrow County; Georgia","60079","8886",
"1400000US13013180301","Census Tract 1803.01; Barrow County; Georgia","77163","16126",
"1400000US13013180302","Census Tract 1803.02; Barrow County; Georgia","83670","15384",
"1400000US13013180303","Census Tract 1803.03; Barrow County; Georgia","86793","19837",
"1400000US13013180401","Census Tract 1804.01; Barrow County; Georgia","89809","8392",
"1400000US13013180402","Census Tract 1804.02; Barrow County; Georgia","68467","11360",
"1400000US13013180501","Census Tract 1805.01; Barrow County; Georgia","86979","12996",
"1400000US13013180502","Census Tract 1805.02; Barrow County; Georgia","84157","11280",
"1400000US13013180503","Census Tract 1805.03; Barrow County; Georgia","62871","9344",
"1400000US13015960101","Census Tract 9601.01; Bartow County; Georgia","73929","17108",
"1400000US13015960103","Census Tract 9601.03; Bartow County; Georgia","93676","23982",
"1400000US13015960104","Census Tract 9601.04; Bartow County; Georgia","61207","31873",
"1400000US13015960105","Census Tract 9601.05; Bartow County; Georgia","101472","43573",
"1400000US13015960201","Census Tract 9602.01; Bartow County; Georgia","88342","13461",
"1400000US13015960202","Census Tract 9602.02; Bartow County; Georgia","73621","9717",
"1400000US13015960203","Census Tract 9602.03; Bartow County; Georgia","76932","23235",
"1400000US13015960301","Census Tract 9603.01; Bartow County; Georgia","86728","19674",
"1400000US13015960302","Census Tract 9603.02; Bartow County; Georgia","61756","20560",
"1400000US13015960403","Census Tract 9604.03; Bartow County; Georgia","57900","12138",
"1400000US13015960404","Census Tract 9604.04; Bartow County; Georgia","73729","2578",
"1400000US13015960405","Census Tract 9604.05; Bartow County; Georgia","99921","27649",
"1400000US13015960406","Census Tract 9604.06; Bartow County; Georgia","41738","25038",
"1400000US13015960407","Census Tract 9604.07; Bartow County; Georgia","102548","23810",
