"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0400000US13","Georgia","52977","282",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","53242","9830",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","31642","5124",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","34534","3618",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","40667","12627",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","42540","6428",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","29688","4775",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","33322","1524",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","39265","10968",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","42750","15221",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","43958","11101",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","33914","4429",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","43594","8322",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","45486","18438",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","54194","9082",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","41136","7849",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","57738","9350",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","30750","4486",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","17194","5150",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","25960","2633",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","19342","8785",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","36021","8598",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","39859","4707",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","44248","3044",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","42369","4610",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","41012","8052",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","37962","5215",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","79655","10428",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","48250","13997",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","65326","12069",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","53015","6185",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","55859","14297",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","50609","7725",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","34750","8132",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","42813","8827",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","42253","4516",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","62266","7888",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","63859","6225",
