"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"0400000US13","Georgia","58700","294",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","57365","13303",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","35475","6854",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","38017","6435",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","44336","12937",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","41555","6402",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","32157","6320",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","39655","7074",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","39375","19177",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","44022","10279",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","46563","13359",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","30863","3763",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","27266","8014",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","41063","8253",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","63948","9591",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","53349","9406",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","71754","6008",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","40685","3913",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","19408","5034",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","25497","5061",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","20912","5019",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","41875","19232",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","42356","8616",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","48234","4567",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","48913","5557",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","48430","9902",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","42025","8559",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","94730","12308",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","56779","8080",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","82784","9659",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","51012","5272",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","54958","14761",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","56000","3843",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","30339","7081",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","56827","13073",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","45549","6603",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","68661","11107",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","64792","7232",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","60625","9252",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","67273","8133",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","72256","6370",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","62667","8187",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","73866","9108",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","62212","9344",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","68469","7484",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","63125","16981",
"1400000US13015960102","Census Tract 9601.02, Bartow County, Georgia","73497","10235",
"1400000US13015960200","Census Tract 9602, Bartow County, Georgia","49531","5225",
"1400000US13015960300","Census Tract 9603, Bartow County, Georgia","65576","4887",
"1400000US13015960401","Census Tract 9604.01, Bartow County, Georgia","47885","10965",
"1400000US13015960402","Census Tract 9604.02, Bartow County, Georgia","61650","5373",
"1400000US13015960500","Census Tract 9605, Bartow County, Georgia","62716","8755",
"1400000US13015960600","Census Tract 9606, Bartow County, Georgia","53471","6473",
"1400000US13015960700","Census Tract 9607, Bartow County, Georgia","44015","7131",
"1400000US13015960801","Census Tract 9608.01, Bartow County, Georgia","53527","8787",
"1400000US13015960802","Census Tract 9608.02, Bartow County, Georgia","40551","5258",
"1400000US13015960803","Census Tract 9608.03, Bartow County, Georgia","53636","8824",
"1400000US13015960901","Census Tract 9609.01, Bartow County, Georgia","58240","5310",
"1400000US13015960902","Census Tract 9609.02, Bartow County, Georgia","66733","3495",
"1400000US13015961000","Census Tract 9610, Bartow County, Georgia","70000","12912",
"1400000US13017960100","Census Tract 9601, Ben Hill County, Georgia","42115","7740",
"1400000US13017960200","Census Tract 9602, Ben Hill County, Georgia","53681","7714",
"1400000US13017960300","Census Tract 9603, Ben Hill County, Georgia","38613","5328",
"1400000US13017960400","Census Tract 9604, Ben Hill County, Georgia","24012","5636",
"1400000US13017960500","Census Tract 9605, Ben Hill County, Georgia","26422","9211",
"1400000US13019970100","Census Tract 9701, Berrien County, Georgia","40217","9537",
"1400000US13019970200","Census Tract 9702, Berrien County, Georgia","38902","5375",
"1400000US13019970300","Census Tract 9703, Berrien County, Georgia","42539","9128",
"1400000US13019970400","Census Tract 9704, Berrien County, Georgia","30845","7701",
"1400000US13019970500","Census Tract 9705, Berrien County, Georgia","45440","6256",
"1400000US13019970600","Census Tract 9706, Berrien County, Georgia","41406","14155",
"1400000US13021010100","Census Tract 101, Bibb County, Georgia","18542","8942",
"1400000US13021010200","Census Tract 102, Bibb County, Georgia","32578","7694",
"1400000US13021010300","Census Tract 103, Bibb County, Georgia","23792","7105",
"1400000US13021010400","Census Tract 104, Bibb County, Georgia","23281","4274",
"1400000US13021010500","Census Tract 105, Bibb County, Georgia","12788","2217",
"1400000US13021010800","Census Tract 108, Bibb County, Georgia","31667","9201",
"1400000US13021011000","Census Tract 110, Bibb County, Georgia","25220","4364",
"1400000US13021011100","Census Tract 111, Bibb County, Georgia","14865","3632",
"1400000US13021011500","Census Tract 115, Bibb County, Georgia","13750","9649",
"1400000US13021011701","Census Tract 117.01, Bibb County, Georgia","33347","4596",
"1400000US13021011702","Census Tract 117.02, Bibb County, Georgia","34300","7112",
"1400000US13021011800","Census Tract 118, Bibb County, Georgia","63504","10948",
"1400000US13021011900","Census Tract 119, Bibb County, Georgia","35061","8896",
"1400000US13021012000","Census Tract 120, Bibb County, Georgia","64503","5926",
"1400000US13021012101","Census Tract 121.01, Bibb County, Georgia","58229","18193",
"1400000US13021012102","Census Tract 121.02, Bibb County, Georgia","51070","5462",
"1400000US13021012200","Census Tract 122, Bibb County, Georgia","36071","13885",
"1400000US13021012300","Census Tract 123, Bibb County, Georgia","21205","6659",
"1400000US13021012400","Census Tract 124, Bibb County, Georgia","22361","4676",
"1400000US13021012500","Census Tract 125, Bibb County, Georgia","18387","9651",
"1400000US13021012600","Census Tract 126, Bibb County, Georgia","29082","8829",
"1400000US13021012700","Census Tract 127, Bibb County, Georgia","12891","4411",
"1400000US13021012800","Census Tract 128, Bibb County, Georgia","19122","6567",
"1400000US13021012900","Census Tract 129, Bibb County, Georgia","23846","7167",
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","31555","4809",
"1400000US13021013102","Census Tract 131.02, Bibb County, Georgia","32363","7528",
"1400000US13021013201","Census Tract 132.01, Bibb County, Georgia","34544","6730",
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","26339","10638",
"1400000US13021013302","Census Tract 133.02, Bibb County, Georgia","34886","5451",
"1400000US13021013407","Census Tract 134.07, Bibb County, Georgia","46630","9066",
"1400000US13021013408","Census Tract 134.08, Bibb County, Georgia","89600","10300",
"1400000US13021013409","Census Tract 134.09, Bibb County, Georgia","55132","6630",
"1400000US13021013410","Census Tract 134.10, Bibb County, Georgia","91116","15294",
"1400000US13021013411","Census Tract 134.11, Bibb County, Georgia","71875","3706",
"1400000US13021013502","Census Tract 135.02, Bibb County, Georgia","41523","16880",
"1400000US13021013503","Census Tract 135.03, Bibb County, Georgia","54375","15318",
"1400000US13021013504","Census Tract 135.04, Bibb County, Georgia","69118","9266",
"1400000US13021013603","Census Tract 136.03, Bibb County, Georgia","66996","7344",
"1400000US13021013604","Census Tract 136.04, Bibb County, Georgia","55000","9271",
"1400000US13021013605","Census Tract 136.05, Bibb County, Georgia","70379","12416",
"1400000US13021013606","Census Tract 136.06, Bibb County, Georgia","77143","13502",
"1400000US13021013700","Census Tract 137, Bibb County, Georgia","22439","5424",
"1400000US13021013800","Census Tract 138, Bibb County, Georgia","19063","7423",
"1400000US13021013900","Census Tract 139, Bibb County, Georgia","34261","7042",
"1400000US13023790100","Census Tract 7901, Bleckley County, Georgia","52849","4897",
"1400000US13023790200","Census Tract 7902, Bleckley County, Georgia","32014","9935",
"1400000US13023790300","Census Tract 7903, Bleckley County, Georgia","49940","8595",
