"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"13","Georgia","13005970201","Bacon County, GA - 13005970201","2021","10.4%","","(9.1% - 11.9%)","9.1%","11.9%",
"13","Georgia","13005970201","Bacon County, GA - 13005970201","2022","10.9%","","(9.8% - 12.1%)","9.8%","12.1%",
"13","Georgia","13005970202","Bacon County, GA - 13005970202","2018","11.7%","","(10.7% - 12.6%)","10.7%","12.6%",
"13","Georgia","13005970202","Bacon County, GA - 13005970202","2019","11.7%","","(10.8% - 12.6%)","10.8%","12.6%",
"13","Georgia","13005970202","Bacon County, GA - 13005970202","2020","10.9%","","(9.9% - 11.9%)","9.9%","11.9%",
"13","Georgia","13005970202","Bacon County, GA - 13005970202","2021","10.6%","","(9.2% - 12.1%)","9.2%","12.1%",
"13","Georgia","13005970202","Bacon County, GA - 13005970202","2022","12.5%","","(11.3% - 13.8%)","11.3%","13.8%",
"13","Georgia","13007960100","Baker County, GA - 13007960100","2018","9.9%","","(9.0% - 10.8%)","9.0%","10.8%",
"13","Georgia","13007960100","Baker County, GA - 13007960100","2019","10.5%","","(9.7% - 11.3%)","9.7%","11.3%",
"13","Georgia","13007960100","Baker County, GA - 13007960100","2020","9.7%","","(8.7% - 10.8%)","8.7%","10.8%",
"13","Georgia","13007960100","Baker County, GA - 13007960100","2021","9.5%","","(8.3% - 10.9%)","8.3%","10.9%",
"13","Georgia","13007960100","Baker County, GA - 13007960100","2022","11.1%","","(10.0% - 12.3%)","10.0%","12.3%",
"13","Georgia","13007960200","Baker County, GA - 13007960200","2018","9.1%","","(8.5% - 9.7%)","8.5%","9.7%",
"13","Georgia","13007960200","Baker County, GA - 13007960200","2019","8.5%","","(8.0% - 9.1%)","8.0%","9.1%",
"13","Georgia","13007960200","Baker County, GA - 13007960200","2020","7.6%","","(7.2% - 8.2%)","7.2%","8.2%",
"13","Georgia","13007960200","Baker County, GA - 13007960200","2021","7.6%","","(6.5% - 8.7%)","6.5%","8.7%",
"13","Georgia","13007960200","Baker County, GA - 13007960200","2022","13.3%","","(11.9% - 14.6%)","11.9%","14.6%",
"13","Georgia","13009970100","Baldwin County, GA - 13009970100","2018","8.2%","","(7.3% - 9.1%)","7.3%","9.1%",
"13","Georgia","13009970100","Baldwin County, GA - 13009970100","2019","7.2%","","(6.4% - 8.0%)","6.4%","8.0%",
"13","Georgia","13009970100","Baldwin County, GA - 13009970100","2020","6.4%","","(5.7% - 7.2%)","5.7%","7.2%",
"13","Georgia","13009970100","Baldwin County, GA - 13009970100","2021","6.3%","","(5.3% - 7.4%)","5.3%","7.4%",
"13","Georgia","13009970100","Baldwin County, GA - 13009970100","2022","Low Population","","","","",
"13","Georgia","13009970101","Baldwin County, GA - 13009970101","2022","7.5%","","(6.7% - 8.2%)","6.7%","8.2%",
"13","Georgia","13009970102","Baldwin County, GA - 13009970102","2022","9.2%","","(8.3% - 10.1%)","8.3%","10.1%",
"13","Georgia","13009970200","Baldwin County, GA - 13009970200","2018","8.0%","","(7.2% - 8.8%)","7.2%","8.8%",
"13","Georgia","13009970200","Baldwin County, GA - 13009970200","2019","7.9%","","(7.0% - 8.8%)","7.0%","8.8%",
"13","Georgia","13009970200","Baldwin County, GA - 13009970200","2020","7.3%","","(6.3% - 8.4%)","6.3%","8.4%",
"13","Georgia","13009970200","Baldwin County, GA - 13009970200","2021","7.0%","","(6.0% - 8.3%)","6.0%","8.3%",
"13","Georgia","13009970200","Baldwin County, GA - 13009970200","2022","Low Population","","","","",
"13","Georgia","13009970201","Baldwin County, GA - 13009970201","2022","8.3%","","(7.5% - 9.1%)","7.5%","9.1%",
"13","Georgia","13009970202","Baldwin County, GA - 13009970202","2022","8.8%","","(7.9% - 9.7%)","7.9%","9.7%",
"13","Georgia","13009970300","Baldwin County, GA - 13009970300","2018","6.6%","","(5.9% - 7.4%)","5.9%","7.4%",
"13","Georgia","13009970300","Baldwin County, GA - 13009970300","2019","5.8%","","(5.2% - 6.6%)","5.2%","6.6%",
"13","Georgia","13009970300","Baldwin County, GA - 13009970300","2020","5.3%","","(4.4% - 6.1%)","4.4%","6.1%",
