"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0400000US13","Georgia","6693826","2204","91517","2850","818","230","1331","262","3373","574","6533","760","15752","1146","11829","852","18479","1162","66785","2319","36936","1360","82935","2599","125592","3606","166157","3124","174433","4341","117187","2992","1554091","13618","323121","4576","375528","6625","1015467","8783","502431","5872","1241995","10177","539097","6545","136781","3012","85658","2120",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","1914","205","0","13","0","13","0","13","0","13","0","13","8","14","0","13","0","13","31","40","33","39","7","12","50","41","114","63","220","88","12","18","674","147","52","46","94","56","189","90","174","66","131","66","114","51","11","16","0","13",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","2896","317","101","79","0","13","0","13","0","13","0","13","0","13","38","43","18","18","84","60","29","31","88","48","88","58","205","95","37","32","44","35","873","150","216","103","64","63","475","143","145","72","209","103","156","78","12","20","14","15",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","3970","385","72","70","0","18","0","18","0","18","50","51","0","18","42","57","18","24","38","45","4","8","203","145","168","115","220","159","292","135","42","28","1410","284","261","117","157","99","537","169","92","67","194","86","54","47","90","66","26","29",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1121","144","26","30","0","13","0","13","0","13","0","13","20","22","10","16","1","3","0","13","0","13","44","32","4","4","73","54","47","43","30","28","385","95","45","28","72","44","163","60","94","42","32","17","68","44","0","13","7","13",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2465","275","52","48","0","13","0","13","0","13","0","13","0","13","0","13","8","11","46","36","32","36","24","37","60","39","105","69","62","55","76","52","964","156","81","56","172","70","289","117","187","67","253","90","33","31","9","13","12","20",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1349","171","143","69","0","13","0","13","0","13","18","23","0","13","23","24","12","14","100","76","51","43","57","46","17","20","47","23","42","45","23","23","358","88","92","58","57","35","173","79","58","31","32","24","46","37","0","13","0","13",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","2974","203","74","48","0","13","0","13","10","15","10","16","0","13","13","21","5","8","99","69","58","43","112","61","104","74","136","60","155","75","22","27","1173","249","155","66","73","49","339","101","196","82","156","80","45","37","23","25","16","25",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","919","138","21","27","0","13","0","13","0","13","0","13","15","24","0","13","0","13","6","9","0","13","25","28","46","37","43","34","73","57","20","19","241","97","84","50","80","46","38","31","117","58","64","42","38","30","0","13","8","11",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","1938","209","70","72","0","13","0","13","0","13","40","43","0","13","40","43","0","13","0","13","23","33","33","39","21","32","78","63","21","18","14","17","632","193","116","72","122","67","319","109","134","87","129","74","116","62","30","23","0","13",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","2781","264","17","19","0","13","0","13","7","13","0","13","11","18","0","13","13","20","8","17","43","35","13","16","96","57","32","30","97","59","32","29","1094","213","174","83","155","65","344","114","285","103","247","111","84","66","29","32","0","13",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","2735","288","43","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","23","42","0","13","80","52","74","53","114","58","230","138","35","39","761","167","305","98","236","90","382","120","208","74","159","72","74","55","11","20","0","13",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1458","120","20","18","0","13","0","13","0","13","7","14","0","13","0","13","0","13","12","13","12","16","51","27","173","118","92","51","28","22","14","14","441","111","62","34","47","28","187","74","161","56","50","38","86","44","12","17","3","4",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","850","122","0","13","0","13","0","13","0","13","0","13","7","10","0","13","0","13","13","18","15","19","12","13","6","8","25","23","20","24","9","13","274","100","84","54","56","40","157","61","68","35","88","49","16","24","0","13","0","13",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","3730","388","104","88","0","18","0","18","0","18","0","18","0","18","0","18","0","18","18","28","16","26","22","34","39","38","47","67","152","105","51","46","1375","326","261","118","235","115","480","198","294","92","364","137","175","94","59","60","38","33",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","4489","400","0","18","0","18","0","18","0","18","0","18","0","18","10","17","0","18","0","18","10","17","19","25","82","63","115","83","48","38","174","176","1466","361","200","110","298","137","508","182","328","130","767","225","348","132","33","37","83","71",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","4016","345","63","81","0","18","0","18","0","18","0","18","29","42","0","18","11","18","0","18","0","18","32","51","40","31","49","43","54","50","184","129","950","254","114","65","208","105","662","249","398","172","482","174","459","175","128","86","153","95",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","2704","368","48","49","0","13","0","13","0","13","0","13","0","13","0","13","23","35","18","27","12","21","84","64","97","71","87","60","140","79","23","27","831","246","121","72","136","90","237","102","198","104","344","147","196","78","26","19","83","48",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","2433","313","54","58","0","18","0","18","0","18","0","18","25","42","0","18","0","18","36","56","23","35","19","35","71","69","232","162","15","20","45","61","807","288","89","64","139","86","282","131","221","104","233","109","99","77","14","22","29","33",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","2155","297","29","32","0","13","0","13","0","13","14","21","3","8","0","13","58","59","13","16","34","33","73","57","121","74","135","97","111","63","65","48","680","165","56","39","91","46","306","108","140","80","129","60","71","51","14","19","12","12",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","1494","316","66","71","0","13","12","23","0","13","0","13","0","13","3","6","0","13","0","13","3","7","11","21","31","28","135","103","163","72","53","40","508","154","84","47","66","40","162","98","94","66","51","38","52","46","0","13","0","13",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","1567","319","18","37","0","13","0","13","0","13","0","13","0","13","0","13","7","10","9","11","0","13","4","7","45","41","107","100","82","58","13","11","562","192","108","62","59","40","215","89","71","45","104","58","99","78","36","47","28","20",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","5473","445","71","65","0","18","0","18","0","18","0","18","0","18","34","47","0","18","0","18","64","68","94","77","304","158","398","192","211","118","30","49","1399","219","595","188","195","109","1010","285","338","129","539","266","152","90","15","21","24","39",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","3615","272","63","44","0","18","0","18","0","18","7","13","34","40","9","14","7","14","80","61","65","37","105","62","61","35","165","61","131","67","56","39","1025","210","407","119","197","95","523","128","249","117","263","96","82","50","53","48","33","36",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","3344","252","29","19","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","19","21","115","58","163","97","163","71","209","113","117","52","1190","204","252","89","145","64","262","111","206","59","288","76","134","71","33","22","19","20",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","3249","271","92","59","0","13","0","13","0","13","0","13","0","13","12","19","0","13","76","98","16","17","57","41","92","60","101","65","247","113","30","33","1041","194","268","118","218","78","383","130","222","78","245","140","130","73","13","17","6","9",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","2402","335","45","46","0","13","0","13","0","13","0","13","0","13","24","40","0","13","0","13","0","13","135","80","112","112","87","74","147","82","34","25","805","183","285","143","190","87","261","122","73","47","127","57","57","46","20","25","0","13",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","3405","358","94","68","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","14","16","61","43","20","22","26","25","80","57","725","158","165","89","413","128","339","140","324","119","802","194","224","88","54","40","64","51",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","1284","145","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","15","0","13","52","43","48","31","25","23","54","40","37","34","366","89","77","40","117","39","178","67","153","77","117","53","39","36","0","13","11","13",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","1856","175","62","45","0","13","0","13","0","13","0","13","0","13","49","77","0","13","0","13","14","15","11","11","45","41","49","27","94","68","37","25","474","100","90","40","179","56","229","59","100","36","282","72","90","48","46","33","5","8",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","1855","159","31","27","0","13","9","13","0","13","0","13","0","13","6","10","0","13","18","26","33","33","44","36","58","39","16","15","57","31","45","33","440","82","190","54","127","50","288","89","158","72","235","81","83","62","12","13","5","9",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","2810","250","217","148","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","23","11","17","81","56","62","41","110","73","126","70","71","41","875","175","215","90","159","75","308","108","163","79","286","90","110","63","0","13","0","13",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","1991","223","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","28","0","13","23","32","0","13","0","13","75","86","26","26","47","34","549","168","199","86","267","92","333","102","198","69","215","100","39","32","0","13","4","6",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","2220","251","46","40","0","13","0","13","0","13","0","13","5","10","0","13","35","51","90","65","43","50","30","33","42","49","122","84","66","43","50","49","635","170","207","80","155","63","385","107","145","91","109","65","45","49","0","13","10","17",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","1757","244","50","31","0","13","6","9","0","13","0","13","32","26","61","74","2","6","17","19","17","16","110","72","85","61","58","30","91","74","22","20","410","102","132","59","114","59","231","73","121","58","142","63","28","20","5","7","23","28",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","2748","282","85","60","0","13","0","13","0","13","0","13","0","13","24","37","8","13","67","81","0","13","34","42","57","46","108","77","55","54","63","45","946","168","208","79","153","72","326","109","175","89","245","83","178","74","9","13","7","13",
