"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0400000US13","Georgia","6410416","2034","84070","2639","793","191","1219","316","4189","690","7230","769","18092","1166","14039","1025","22055","1210","70898","2564","45038","1761","91783","3153","136647","3045","174761","3660","178713","3804","109833","2917","1518683","11084","313403","4491","365871","5773","986669","8337","451537","5573","1148710","8824","468554","6570","122826","3096","74803","2076",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2175","208","16","28","0","13","0","13","0","13","0","13","0","13","0","13","19","24","38","30","13","23","21","20","27","23","124","64","191","81","10","16","826","156","164","88","105","46","212","79","178","90","135","80","86","52","0","13","10","17",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","2980","265","77","57","31","41","0","13","0","13","0","13","0","13","0","13","31","26","69","64","14","15","14","17","161","89","151","74","32","23","47","38","1172","237","281","106","172","80","350","106","119","78","152","79","71","46","36","44","0","13",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","3283","277","20","40","0","13","0","13","0","13","30","43","0","13","0","13","22","33","57","63","97","91","165","101","80","76","168","113","27","39","36","35","1218","235","50","55","147","93","288","110","180","105","481","221","76","57","96","72","45","54",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","981","136","13","13","0","13","0","13","0","13","0","13","22","22","10","15","1","2","0","13","0","13","44","28","9","9","60","35","53","41","6","9","361","111","34","26","49","28","143","65","103","60","41","23","32","23","0","13","0","13",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2775","281","38","38","0","13","0","13","0","13","0","13","2","4","0","13","0","13","77","66","93","61","136","91","132","88","212","90","154","107","120","85","931","159","152","83","97","61","204","95","113","54","189","83","73","53","11","13","41","45",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1404","193","69","52","6","10","0","13","0","13","8","12","14","13","12","18","11","18","43","27","4","7","51","36","35","25","68","32","55","40","14","19","502","98","46","22","67","36","180","80","86","54","86","44","47","35","0","13","0","13",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","2948","185","87","58","0","13","0","13","11","17","0","13","59","61","61","47","0","13","228","94","27","31","133","67","169","68","118","56","116","59","40","33","1045","163","127","53","52","31","314","124","146","73","153","85","29","19","25","21","8","13",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","828","135","11","16","0","13","0","13","0","13","0","13","9","16","0","13","0","13","35","32","15","18","28","25","36","35","88","43","35","28","7","8","216","93","89","51","42","26","126","60","38","26","26","19","23","23","0","13","4","7",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2099","208","98","89","0","13","0","13","0","13","51","66","0","13","52","66","0","13","7","12","23","41","29","29","27","41","144","61","77","63","64","38","619","142","125","60","149","81","292","119","108","56","132","77","95","51","7","10","0","13",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","2419","256","4","8","0","13","0","13","8","13","0","13","8","13","14","24","20","31","39","35","77","61","32","35","137","85","56","42","139","127","32","31","863","199","101","62","71","43","240","78","155","95","287","138","83","64","47","47","6","9",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","2781","271","10","18","0","13","0","13","0","13","0","13","0","13","17","23","12","19","108","116","13","18","63","48","107","73","128","91","236","137","50","39","943","188","271","89","104","58","323","110","168","84","124","96","78","62","13","17","13","20",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1429","158","3","4","0","13","0","13","0","13","12","19","14","18","0","13","13","14","7","10","2","4","46","27","102","60","98","50","42","26","20","17","494","102","68","31","84","41","153","59","146","57","32","20","76","47","17","19","0","13",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","835","120","5","9","0","13","0","13","0","13","0","13","5","7","0","13","22","28","0","13","14","17","10","10","5","8","28","35","4","9","9","16","372","134","37","29","40","31","107","47","54","39","120","92","3","6","0","13","0","13",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","3411","449","86","85","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","14","23","57","54","23","26","264","279","230","113","0","18","903","221","169","92","187","76","707","218","161","103","195","98","339","219","52","55","24","40",
