"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0400000US13","Georgia","6500205","2333","85137","2653","721","177","1296","269","4160","705","7047","737","17373","1132","13817","1072","21284","1337","70367","2458","43132","1876","88785","2503","132636","2991","172490","3400","178037","3186","112415","2840","1529871","11288","316053","4438","368871","5415","997764","7476","465465","5541","1178186","8098","490540","6294","126049","2349","78709","2302",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2205","228","0","13","0","13","0","13","0","13","0","13","10","16","0","13","24","27","68","52","13","24","42","36","52","32","133","52","214","83","8","13","818","147","113","77","66","42","223","99","159","72","131","74","122","60","0","13","9","14",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","2857","275","114","79","0","13","0","13","0","13","0","13","0","13","13","22","25","26","77","69","17","19","18","22","140","75","216","92","29","20","46","36","1020","166","312","125","111","62","312","112","153","74","169","77","53","38","32","36","0","13",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","3507","313","13","21","0","13","0","13","0","13","29","36","0","13","36","43","20","31","6","12","51","52","192","117","81","70","212","112","72","50","33","29","1278","243","202","110","162","95","387","150","70","56","432","202","61","47","155","99","15","24",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1004","153","13","14","0","13","0","13","0","13","0","13","27","28","11","16","1","2","0","13","0","13","50","34","9","9","62","38","44","40","8","11","352","96","36","22","48","27","167","63","97","48","50","24","29","21","0","13","0","13",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2624","282","40","41","0","13","0","13","0","13","0","13","1","4","0","13","6","10","34","34","86","61","89","68","95","73","155","71","92","60","77","52","951","157","139","79","144","75","238","118","134","67","218","76","69","50","16","15","40","46",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1312","163","82","68","0","13","0","13","0","13","12","17","18","20","12","17","13","21","51","36","19","15","58","47","35","23","64","26","50","44","13","12","402","85","58","32","74","44","192","83","75","40","45","26","39","26","0","13","0","13",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","3042","175","79","61","0","13","0","13","14","24","7","12","43","55","56","49","3","5","197","74","24","26","111","57","102","51","136","65","103","50","30","29","1130","170","113","62","53","33","346","101","215","89","211","116","44","37","25","23","0","13",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","890","124","16","19","0","13","0","13","0","13","0","13","11","17","0","13","0","13","15","19","18","21","34","28","36","33","73","36","47","34","15","13","252","93","102","60","67","37","120","60","40","29","19","18","20","20","0","13","5","7",
