"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0400000US13","Georgia","7158620","2226","116098","3716","1612","386","1713","357","2604","742","5582","849","12918","1265","8688","1082","17403","1462","50519","2545","25194","1586","63390","2212","97816","2983","133514","3938","141523","3960","130065","3450","1611827","15387","331469","5360","418865","7580","985474","11301","594639","7188","1464589","13301","669304","9130","165134","3994","108680","2989",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","2087","339","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","59","98","0","14","78","63","33","33","100","68","148","123","0","14","685","233","89","61","165","84","235","152","252","113","172","85","58","56","13","23","0","14",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","1714","344","0","14","0","14","0","14","0","14","0","14","0","14","1","5","0","14","0","14","65","57","0","14","135","127","130","90","89","74","12","13","493","178","72","48","118","63","217","158","85","59","116","99","151","135","0","14","30","37",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","1630","296","120","113","0","14","0","14","0","14","0","14","0","14","0","14","7","12","0","14","26","30","11","14","42","35","35","36","98","53","23","25","499","210","106","43","274","158","264","125","57","48","45","35","13","20","10","14","0","14",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","1912","242","45","68","0","14","0","14","0","14","0","14","0","14","0","14","38","54","0","14","0","14","77","78","12","26","81","59","23","34","35","40","714","244","60","58","78","57","200","111","294","143","92","86","100","92","63","61","0","14",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","1245","283","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","16","0","14","25","29","19","33","112","124","62","62","125","95","6","15","436","234","42","38","117","62","141","68","70","55","80","75","0","14","0","14","0","14",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","1159","253","35","27","0","14","0","14","0","14","0","14","0","14","19","27","6","10","1","3","10","15","31","29","31","26","10","14","27","28","25","23","458","126","52","39","66","76","107","62","165","98","70","36","37","34","1","4","8","11",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","2536","316","62","87","0","14","0","14","0","14","3","5","0","14","0","14","36","46","11","19","104","88","90","74","39","38","32","30","187","111","8","17","823","202","146","123","165","87","483","237","175","127","101","69","63","53","3","6","5","10",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","1532","244","103","84","0","14","0","14","0","14","74","94","20","30","1","2","83","89","0","14","12","13","10","15","19","17","72","69","26","29","11","13","391","116","117","95","61","46","255","68","106","66","44","29","79","58","48","39","0","14",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","2849","296","130","115","0","14","0","14","8","58","0","14","0","14","0","14","46","58","171","168","36","37","96","55","56","42","74","49","153","110","92","61","809","221","168","84","136","63","356","124","244","111","150","79","95","66","8","11","21","23",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","1087","216","3","7","0","14","0","14","0","14","12","19","0","14","33","35","0","14","37","34","44","67","12","18","23","25","35","34","44","44","81","51","370","147","44","47","44","23","94","60","35","29","112","61","13","24","7","11","44","49",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","1994","346","80","87","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","19","23","9","15","17","21","62","62","27","30","632","190","104","54","118","83","219","104","339","151","234","113","71","55","51","68","12","16",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","2684","293","48","48","0","14","0","14","14","22","0","14","0","14","13","26","11","21","0","14","70","75","24","32","29","31","95","68","66","63","36","39","856","210","116","89","281","118","641","201","189","83","77","69","53","38","52","61","13","18",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","2646","363","71","67","0","14","0","14","0","14","0","14","46","72","0","14","0","14","0","14","30","42","10","21","28","34","126","73","183","110","9","13","832","203","260","86","126","61","564","189","125","64","62","56","119","84","55","68","0","14",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","1171","139","13","15","0","14","0","14","0","14","0","14","0","14","20","18","0","14","0","14","2","4","19","20","0","14","13","14","41","28","61","40","374","96","54","33","82","45","195","88","85","51","147","92","60","47","0","14","5","8",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","884","205","8","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","8","12","2","7","14","12","55","45","0","14","38","33","0","14","299","148","10","14","23","18","45","35","204","121","80","53","98","87","0","14","0","14",
