"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0400000US13","Georgia","7075856","2439","107120","3531","1575","402","1209","407","3276","819","5858","754","14195","1225","8672","1061","17581","1406","55124","2579","27099","1672","67846","2495","102318","3142","142834","3541","149971","4860","127311","3184","1598837","14720","326511","6228","405558","7255","1001047","10162","576689","5980","1426415","12247","643718","9353","161767","3678","103325","3169",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2242","341","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","4","12","51","47","39","40","110","69","201","125","12","21","814","234","47","38","176","90","256","165","241","114","228","122","50","56","13","22","0","14",
"1400000US13001950201","Census Tract 9502.01, Appling County, Georgia","1716","369","0","14","0","14","0","14","0","14","0","14","0","14","2","4","0","14","0","14","75","64","0","14","108","96","121","88","72","66","4","8","528","186","62","52","138","75","258","160","72","38","111","92","139","130","0","14","26","23",
"1400000US13001950202","Census Tract 9502.02, Appling County, Georgia","1530","320","100","115","0","14","0","14","0","14","0","14","0","14","26","38","0","14","0","14","6","6","41","33","35","30","65","47","42","36","49","42","481","193","49","32","169","101","281","136","115","80","27","28","16","22","7","11","21","32",
"1400000US13001950301","Census Tract 9503.01, Appling County, Georgia","2015","315","83","100","0","14","0","14","0","14","0","14","0","14","0","14","37","52","22","30","0","14","67","69","31","43","67","53","196","184","49","62","826","250","62","54","33","26","138","95","179","126","80","78","79","77","51","51","15","25",
"1400000US13001950302","Census Tract 9503.02, Appling County, Georgia","1178","270","42","61","0","14","0","14","0","14","0","14","0","14","0","14","8","15","0","14","0","14","0","14","107","127","70","64","134","99","13","26","364","185","19","27","103","60","139","84","137","95","42","51","0","14","0","14","0","14",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1321","277","43","36","0","14","0","14","0","14","0","14","0","14","22","35","5","10","2","3","0","14","32","34","37","32","21","22","29","32","42","35","438","140","49","35","65","85","237","144","199","120","42","28","52","39","2","3","4","9",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2347","367","71","103","0","14","0","14","0","14","5","9","0","14","0","14","22","36","21","25","0","14","8","9","52","33","33","27","154","109","54","43","879","197","123","116","173","81","448","184","110","57","123","82","70","52","1","3","0","14",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1509","223","122","74","0","14","0","14","0","14","57","75","14","22","1","3","70","65","11","21","19","28","0","14","25","20","100","75","4","8","27","25","347","95","164","113","73","42","220","88","97","61","20","20","75","48","63","53","0","14",
