"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0400000US13","Georgia","6786547","2032","91231","2794","1168","240","1421","339","3217","541","6428","832","14534","1123","11356","998","17939","1264","65172","2790","34640","1345","77650","2424","121890","3100","165149","3635","172468","3885","119651","3015","1566284","13509","323848","4142","379243","6229","1014998","9374","518144","5662","1282947","9797","564866","7175","142787","2869","89516","2103",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","1936","213","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","29","34","18","20","33","35","47","40","162","83","221","97","18","22","612","166","59","55","121","60","158","95","184","81","139","63","118","75","8","14","0","13",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","2966","313","93","69","0","13","0","13","0","13","0","13","0","13","28","32","0","13","54","46","24","30","91","54","97","57","190","85","59","53","39","33","860","150","168","76","273","142","493","137","172","88","176","95","123","60","8","14","18","21",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","3742","298","106","96","0","19","0","19","0","19","33","38","0","19","69","90","12","17","23","30","3","8","159","131","168","108","126","101","382","167","80","90","1324","306","231","104","195","97","467","183","168","83","104","62","25","34","41","44","26","29",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1191","148","37","34","0","13","0","13","0","13","0","13","11","12","24","27","0","13","2","3","0","13","68","43","5","8","73","54","42","28","34","35","381","84","43","33","72","41","184","86","98","50","55","30","55","37","0","13","7","12",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2488","282","22","27","0","13","0","13","0","13","4","6","0","13","0","13","21","22","61","50","26","40","35","48","74","39","104","67","68","64","64","39","986","178","58","38","184","73","295","112","196","74","219","110","61","39","10","13","0","13",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1373","188","74","55","0","13","0","13","0","13","82","84","0","13","6","8","56","65","76","71","45","33","52","53","13","14","57","37","24","23","33","23","384","107","75","50","53","36","130","68","51","32","45","28","98","60","19","20","0","13",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","2883","209","63","47","0","13","0","13","10","16","14","25","0","13","0","13","35","45","106","66","27","28","81","40","112","66","165","56","105","64","134","97","1063","193","160","75","61","39","304","105","169","61","161","87","65","46","28","28","20","23",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","974","149","23","28","0","13","0","13","0","13","0","13","5","10","0","13","0","13","5","7","0","13","27","29","43","32","40","32","60","53","42","53","347","110","80","54","78","48","31","21","110","62","62","37","9","9","3","7","9","12",
